OTU ID,Nadd,Nlevel,Block,Year,B,R,IN,PH,bac,DOC,Cu,Mn,Zn,Fe
Bac15,Ncess,0,B1,2017,135.89,6,13.06,6.64,2437,56.87,0.3526,7.151,0.1702,6.778
Bac43,Ncess,0,B2,2017,79.17,5,9.26,6.98,2489,18.56,0.3836,6.269,0.203,5.404
Bac71,Ncess,0,B3,2017,119.96,5,13.89,6.9,2576,75.99,0.5132,9.627,0.3744,9.584
Bac99,Ncess,0,B4,2017,138.06,5,7.91,7.75,2578,52.13,0.3338,4.643,0.2332,5.6
Bac127,Ncess,0,B5,2017,220.58,5,17.12,6.58,2503,79.33,0.6758,18.321,0.3116,14.318
Bac16,Ncess,2,B1,2017,173.88,8,24.98,6.67,2509,119.94,0.543,13.537,0.2492,12.582
Bac44,Ncess,2,B2,2017,113.92,5,10.23,7.23,2469,26.5,0.3972,6.797,0.2144,6.614
Bac72,Ncess,2,B3,2017,143.81,7,13.51,8.11,2375,51.83,0.3314,4.051,0.2008,3.95
Bac100,Ncess,2,B4,2017,113.84,3,17.8,7.35,2490,38.54,0.4988,8.929,0.3104,10.24
Bac128,Ncess,2,B5,2017,85.91,6,11.97,6.77,2623,49.18,0.4952,13.103,0.3174,13.234
Bac17,Ncess,5,B1,2017,156.8,10,21.86,6.63,2586,50.02,0.4744,13.141,0.2848,14.024
Bac45,Ncess,5,B2,2017,154.28,3,18.24,6.92,2523,53.97,0.4754,11.763,0.2626,10.498
Bac73,Ncess,5,B3,2017,122.01,7,17.5,7.51,2491,46.27,0.4708,9.345,0.2074,9.616
Bac101,Ncess,5,B4,2017,113.99,3,11.23,7.16,2470,64.66,0.4836,10.591,0.1976,11.06
Bac129,Ncess,5,B5,2017,129.85,8,17.4,6.57,2465,54.93,0.5502,17.791,0.2782,17.024
Bac18,Ncess,10,B1,2017,101.7,8,28.97,6.27,2400,44.5,0.672,27.287,0.3212,23.858
Bac46,Ncess,10,B2,2017,213.49,4,21.05,6.71,2341,45.75,0.5668,16.719,0.241,18.99
Bac74,Ncess,10,B3,2017,196.3,5,22.95,7.89,2804,83.94,0.46,7.893,0.3072,9.398
Bac102,Ncess,10,B4,2017,118.49,3,38.8,6.63,2447,75.89,0.533,18.489,0.3786,17.508
Bac130,Ncess,10,B5,2017,84.65,4,15.6,6.71,2559,49.94,0.5524,14.389,0.4224,14.404
Bac19,Ncess,15,B1,2017,237.24,5,25.86,6.21,2500,68.78,0.5228,19.819,0.2652,19.236
Bac47,Ncess,15,B2,2017,152.24,5,16.36,6.39,2432,48.6,0.64,24.787,0.2208,23.538
Bac75,Ncess,15,B3,2017,208.23,6,19.39,7.77,2554,80.73,0.4614,8.673,0.2086,11.378
Bac103,Ncess,15,B4,2017,156.31,1,15.51,6.12,2292,80.48,0.5352,24.407,0.2758,25.298
