#ID,Annotation,ratio,group,sig
1,Bacterial.chemotaxis,0,Ncont,non-significant
2,Betalain.biosynthesis,11.8709677,Ncont,significant
3,Biofilm.formation.-.Escherichia.coli,0,Ncont,non-significant
4,Biofilm.formation.-.Pseudomonas.aeruginosa,0,Ncont,non-significant
5,Biofilm.formation.-.Vibrio.cholerae,0,Ncont,non-significant
6,Carbon.fixation.in.photosynthetic.organisms,5.93548387,Ncont,significant
7,Drug.metabolism.-.cytochrome.P450,11.8709677,Ncont,significant
8,Drug.metabolism.-.other.enzymes,0,Ncont,non-significant
9,Fructose.and.mannose.metabolism,0,Ncont,non-significant
10,Glutathione.metabolism,5.93548387,Ncont,significant
11,HIF-1.signaling.pathway,11.8709677,Ncont,significant
12,Metabolism.of.xenobiotics.by.cytochrome.P450,11.8709677,Ncont,significant
13,Nitrotoluene.degradation,0,Ncont,non-significant
14,Oxidative.phosphorylation,3.56129032,Ncont,significant
15,Pentose.and.glucuronate.interconversions,0,Ncont,non-significant
16,Phosphotransferase.system,0,Ncont,non-significant
17,Photosynthesis,5.93548387,Ncont,significant
18,Quorum.sensing,0,Ncont,non-significant
19,Ribosome,0,Ncont,non-significant
20,Two-component.system,0,Ncont,non-significant
21,Bacterial.chemotaxis,8.347826087,Ncess,significant
22,Betalain.biosynthesis,0,Ncess,non-significant
23,Biofilm.formation.-.Escherichia.coli,8.347826087,Ncess,significant
24,Biofilm.formation.-.Pseudomonas.aeruginosa,5.565217391,Ncess,significant
25,Biofilm.formation.-.Vibrio.cholerae,8.347826087,Ncess,significant
26,Carbon.fixation.in.photosynthetic.organisms,0,Ncess,non-significant
27,Drug.metabolism.-.cytochrome.P450,8.347826087,Ncess,significant
28,Drug.metabolism.-.other.enzymes,16.69565217,Ncess,significant
29,Fructose.and.mannose.metabolism,10.43478261,Ncess,significant
30,Glutathione.metabolism,4.173913043,Ncess,significant
31,HIF-1.signaling.pathway,0,Ncess,non-significant
32,Metabolism.of.xenobiotics.by.cytochrome.P450,8.347826087,Ncess,significant
33,Nitrotoluene.degradation,16.69565217,Ncess,significant
34,Oxidative.phosphorylation,0,Ncess,non-significant
35,Pentose.and.glucuronate.interconversions,5.565217391,Ncess,significant
36,Phosphotransferase.system,11.13043478,Ncess,significant
37,Photosynthesis,0,Ncess,non-significant
38,Quorum.sensing,2.504347826,Ncess,significant
39,Ribosome,3.035573123,Ncess,significant
40,Two-component.system,4.173913043,Ncess,significant
