sample_name,N,Nadd,Block,Nlevel,DOC,DN,DOC.DN,NH4,NO3,IN,LIN,pH,Cu,Mn,Plant.biomass,Plant.richness,KO.richness,OTU.richness,CN.ratio,virus,OTU.shannon,KO.shannon,Fbratio,rate,rate1,16sShannon.Wiener,16sSimpson,16sobserved_species,plasmidr,plasmids,lgtko1,lgtko2,h.function,AGS
YN00_1,N0,Ncont,B1,0,38.74088297,9.838434718,3.937707987,1.1051422,1.89659775,3.00173995,0.477373065,7.12,0.307,8.722,148.69,12,9466,2563,12.90614231,4.032743254,6.708174861,8.033371244,0.012362731,3.693328131,0.270758504,4.01527406,0.97269698,102,664,4.505003188,53,3.96331193,1.197549469,3.161161579
YN00_2,N0,Ncont,B2,0,42.14252495,12.65113542,3.331125907,1.436472109,1.336130308,2.772602417,0.442887597,7.33,0.2864,6.628,153.88,16,9460,2600,15.19962786,4.039593798,6.716757356,8.034741369,0.023577929,3.638461538,0.274841438,3.92497742,0.97118743,91,653,4.515077263,34,3.51573965,1.196223258,3.640181127
YN00_3,N0,Ncont,B3,0,47.75377024,10.87496232,4.391166501,0.963907539,2.339371106,3.303278645,0.51894521,7.26,0.2484,9.092,163.21,14,9518,2630,14.45647654,3.967479759,6.766402275,8.031830318,0.01992672,3.619011407,0.276318554,3.93159617,0.97141562,94,663,4.534824133,23,3.13549422,1.187016378,3.296167918
YN00_4,N0,Ncont,B4,0,65.67374468,11.88000575,5.528090311,1.917866975,1.917866975,3.83573395,0.583848476,7.67,0.2236,5.696,100.07,10,9517,2556,17.12155888,3.925992889,6.710171084,8.03928131,0.052427357,3.723395931,0.268572029,3.90601348,0.97025607,94,660,4.497445459,33,3.47613124,1.19807397,3.384814031
YN02_1,N02,Ncont,B1,2,38.18954872,11.49223089,3.323075309,1.732378998,3.143389139,4.875768137,0.688043045,6.79,0.3782,12.138,186.84,9,9607,2410,7.83251944,4.016119065,6.579902711,8.038107758,0.030028677,3.986307054,0.250858749,3.9519297,0.97235566,94,664,4.514146932,23,3.0981395,1.221614986,3.478434935
YN02_2,N02,Ncont,B2,2,40.50761449,12.60433142,3.213785257,1.583939742,1.94045351,3.524393252,0.547084361,7.75,0.2726,5.814,187.3,11,9498,2351,11.49350018,4.13359959,6.645388059,8.035542483,0.047743103,4.039982986,0.247525795,3.94625617,0.97201811,94,663,4.496716497,32,3.45449864,1.209190857,3.904857376
YN02_3,N02,Ncont,B3,2,55.65620697,12.01846319,4.630892161,1.250097228,3.133023759,4.383120987,0.641783459,7.86,0.1954,6.006,296.55,11,9668,2378,12.69784866,3.986020945,6.527274111,8.04170444,0.022251957,4.065601346,0.245966074,3.91235809,0.97119122,95,662,4.501557177,35,3.53598308,1.232015739,3.388358831
YN02_4,N02,Ncont,B4,2,60.72576754,15.50000874,3.917789245,2.592391079,5.195363346,7.787754425,0.891412248,7.62,0.2358,6.278,341.04,5,9489,2571,7.797596615,4.031449201,6.611736931,8.040883844,0.038980255,3.690781797,0.270945305,3.87441803,0.96977334,89,651,4.497088265,40,3.63437887,1.216153021,3.335623648
YN02_5,N02,Ncont,B5,2,35.85946401,7.940878371,4.515805725,1.477595182,2.263886904,3.741482086,0.57304367,6.68,0.3208,14.318,184.15,10,9397,2224,9.58429392,3.990970391,6.717450166,8.031350517,0.04551682,4.225269784,0.236671278,3.91038218,0.96935727,95,655,4.514724693,24,3.17805383,1.195595102,3.824733682
YN05_1,N05,Ncont,B1,5,50.54133247,11.85954777,4.261657649,2.407916375,3.049685132,5.457601507,0.737001822,6.41,0.4066,18.108,214.91,14,9642,2500,9.26072239,4.036358448,6.383267856,8.042778478,0.076183716,3.8568,0.259282307,3.84593549,0.96838515,88,661,4.487109601,28,3.33220451,1.259978221,3.490378715
YN05_2,N05,Ncont,B2,5,43.91804637,35.37676102,1.241437743,15.81601908,11.3703246,27.18634368,1.434350803,6.81,0.3594,12.908,163.79,11,9672,2562,1.615445125,4.269346015,6.612776376,8.046942291,0.035403977,3.775175644,0.264888337,4.01097119,0.97454502,96,661,4.488347829,58,4.02509403,1.21687803,3.271606761
YN05_3,N05,Ncont,B3,5,59.35470474,13.30064942,4.462541855,2.177894295,3.173358741,5.351253036,0.728455487,6.86,0.272,13.058,170.67,9,9784,2433,11.09173951,4.232539222,6.683719291,8.0516428,0.018405657,4.021372791,0.2486713,3.94565178,0.9714727,95,660,4.502804882,38,3.63758616,1.204665015,3.218839426
YN05_4,N05,Ncont,B4,5,68.59774549,15.53721651,4.415060152,3.322118083,4.464096174,7.786214257,0.89132635,7.6,0.2722,7.926,239.14,10,9691,2510,8.810153847,3.173036609,6.622569017,8.050294718,0.029061436,3.860956175,0.259003199,3.86855737,0.96745303,93,658,4.513964877,53,3.94576745,1.215584873,3.320342497
YN05_5,N05,Ncont,B5,5,47.16645876,10.20750748,4.620761616,2.6846088,3.509488599,6.194097399,0.79197803,6.21,0.4042,19.98,181.55,12,9412,2594,7.61474283,4.187801031,6.68927054,8.044849477,0.057273076,3.628373169,0.27560561,3.93074627,0.97038009,96,662,4.50543936,31,3.36190871,1.20264974,3.17181207
YN10_1,N10,Ncont,B1,10,48.19211838,60.09779837,0.801894906,43.59824372,25.32869921,68.92694293,1.838389017,5.58,0.4664,34.3,218.51,8,10150,2484,0.699176785,4.185316147,6.725082417,8.065348804,0.074462343,4.086151369,0.244729064,3.92698941,0.97057388,97,661,4.463455031,46,3.82065198,1.199293675,3.146399386
YN10_2,N10,Ncont,B2,10,44.26516735,28.93261043,1.529940323,9.954009909,7.367968139,17.32197805,1.238597484,6.44,0.4212,19.302,242.1,9,9924,2587,2.555433751,4.118289022,6.727875037,8.054364797,0.164941503,3.836103595,0.260681177,4.00038561,0.9731368,96,659,4.482547918,36,3.5734505,1.197163258,3.400756706
YN10_3,N10,Ncont,B3,10,68.83362868,19.60628172,3.510794635,2.026229803,8.120545663,10.14677547,1.00632805,6.82,0.321,13.336,503.81,15,9845,2405,6.783793421,4.229957784,6.741555302,8.053763779,0.055750583,4.093555094,0.24428644,3.90239109,0.96905999,95,661,4.476941782,32,3.4657359,1.194644769,3.19593412
YN10_4,N10,Ncont,B4,10,59.36247553,23.03079957,2.577525602,11.62728271,9.029375032,20.65665774,1.315060054,6.22,0.3248,22.18,235.33,10,9663,2451,2.873769623,4.287754674,6.617744881,8.056169193,0.047562963,3.94247246,0.253647935,3.92939971,0.96988001,97,653,4.481564294,50,3.8979247,1.217358683,3.589636643
YN10_5,N10,Ncont,B5,10,56.82216275,21.15064505,2.686545144,15.9449598,9.304267161,25.24922696,1.402248086,5.48,0.4794,44.16,320.87,7,10002,2367,2.250451582,4.213797918,6.643535316,8.062863631,0.059591471,4.225602028,0.236652669,3.98473257,0.97229282,97,662,4.460624253,59,4.05511604,1.213640516,3.192348302
YN15_1,N15,Ncont,B1,15,53.94808387,49.8297725,1.082647605,31.45194732,17.65383394,49.10578126,1.691132625,5.66,0.4736,35.26,261.81,9,9874,2380,1.098609624,4.206109255,6.631575985,8.058513537,0.072779864,4.148739496,0.241037067,3.915283,0.96974413,98,665,4.441250249,49,3.87746115,1.215173219,3.274288012
YN15_2,N15,Ncont,B2,15,64.34806072,72.49824984,0.887580885,44.43969132,24.02455613,68.46424745,1.835463839,6.99,0.3782,18.434,229.69,6,9991,2513,0.939878303,4.268286963,6.62866075,8.055225361,0.090656068,3.975726224,0.251526374,4.01639541,0.97289451,100,653,4.471554372,35,3.53598308,1.215211589,3.859889682
