sample_name,N,Nadd,Block,N addition rates,Inorganic nitrogen,Soil pH,Plant richness,Plant biomass,Richness of KO genes in HGTs,AGS,Richness of KO genes,Richness of bacteria taxonomic,rate,H,E,HGT events
YN00_1,N0,Ncont,B1,0,3.00173995,7.12,12,148.69,53,3.161161579,9466,2563,3.693328131,1.474204,0.593263,55
YN00_2,N0,Ncont,B2,0,2.772602417,7.33,16,153.88,34,3.640181127,9460,2600,3.638461538,2.20299,0.794561,33
YN00_3,N0,Ncont,B3,0,3.303278645,7.26,14,163.21,23,3.296167918,9518,2630,3.619011407,1.495726,0.566765,29
YN00_4,N0,Ncont,B4,0,3.83573395,7.67,10,100.07,33,3.384814031,9517,2556,3.723395931,1.559267,0.677181,40
YN02_1,N02,Ncont,B1,2,4.875768137,6.79,9,186.84,23,3.478434935,9607,2410,3.986307054,1.657909,0.754547,32
YN02_2,N02,Ncont,B2,2,3.524393252,7.75,11,187.3,32,3.904857376,9498,2351,4.039982986,2.204763,0.919458,35
YN02_3,N02,Ncont,B3,2,4.383120987,7.86,11,296.55,35,3.388358831,9668,2378,4.065601346,1.869785,0.779761,42
YN02_4,N02,Ncont,B4,2,7.787754425,7.62,5,341.04,40,3.335623648,9489,2571,3.690781797,0.627818,0.390086,43
YN02_5,N02,Ncont,B5,2,3.741482086,6.68,10,184.15,24,3.824733682,9397,2224,4.225269784,1.893095,0.822161,35
YN05_1,N05,Ncont,B1,5,5.457601507,6.41,14,214.91,28,3.490378715,9642,2500,3.8568,1.752608,0.664104,36
YN05_2,N05,Ncont,B2,5,27.18634368,6.81,11,163.79,58,3.271606761,9672,2562,3.775175644,1.412309,0.588979,55
YN05_3,N05,Ncont,B3,5,5.351253036,6.86,9,170.67,38,3.218839426,9784,2433,4.021372791,1.10119,0.501173,38
YN05_4,N05,Ncont,B4,5,7.786214257,7.6,10,239.14,53,3.320342497,9691,2510,3.860956175,1.666002,0.723535,57
YN05_5,N05,Ncont,B5,5,6.194097399,6.21,12,181.55,31,3.17181207,9412,2594,3.628373169,1.599418,0.643653,44
YN10_1,N10,Ncont,B1,10,68.92694293,5.58,8,218.51,46,3.146399386,10150,2484,4.086151369,1.198239,0.576231,44
YN10_2,N10,Ncont,B2,10,17.32197805,6.44,9,242.1,36,3.400756706,9924,2587,3.836103595,1.031946,0.469659,37
YN10_3,N10,Ncont,B3,10,10.14677547,6.82,15,503.81,32,3.19593412,9845,2405,4.093555094,0.949001,0.350437,50
YN10_4,N10,Ncont,B4,10,20.65665774,6.22,10,235.33,50,3.589636643,9663,2451,3.94247246,1.683443,0.73111,55
YN10_5,N10,Ncont,B5,10,25.24922696,5.48,7,320.87,59,3.192348302,10002,2367,4.225602028,1.159506,0.595868,62
YN15_1,N15,Ncont,B1,15,49.10578126,5.66,9,261.81,49,3.274288012,9874,2380,4.148739496,0.992378,0.451651,65
YN15_2,N15,Ncont,B2,15,68.46424745,6.99,6,229.69,35,3.859889682,9991,2513,3.975726224,1.677608,0.936291,37
YN15_3,N15,Ncont,B3,15,61.81797901,7.06,8,254.67,44,3.279417688,10251,2323,4.412828239,0.733928,0.352945,49
YN15_4,N15,Ncont,B4,15,27.85638298,6.18,7,263.04,56,3.31074821,9661,2271,4.254073096,1.018857,0.523589,63
YN15_5,N15,Ncont,B5,15,23.34611213,5.64,6,279.32,68,3.236505921,10093,2265,4.45607064,0.367321,0.205006,74
YN20_1,N20,Ncont,B1,20,170.0629514,4.75,6,213.65,67,3.649540546,10879,1996,5.450400802,1.462132,0.816031,60
YN20_2,N20,Ncont,B2,20,355.7556548,6.64,6,285.92,44,3.469337135,10527,2165,4.862355658,1.096258,0.611833,44
