OTU ID,order,Nadd,Nlevel,Nitrogen,Treatment,Year,Block,#sample
Bac1,1,Ncont,0,N0,YN0,2017,B1,YN00_1
Bac2,2,Ncont,2,N2,YN2,2017,B1,YN02_1
Bac3,3,Ncont,5,N5,YN5,2017,B1,YN05_1
Bac4,4,Ncont,10,N10,YN10,2017,B1,YN10_1
Bac5,5,Ncont,15,N15,YN15,2017,B1,YN15_1
Bac6,6,Ncont,20,N20,YN20,2017,B1,YN20_1
Bac7,7,Ncont,50,N50,YN50,2017,B1,YN50_1
Bac15,8,Ncess,0,N0,NN0,2017,B1,NN00_1
Bac16,9,Ncess,2,N2,NN2,2017,B1,NN02_1
Bac17,10,Ncess,5,N5,NN5,2017,B1,NN05_1
Bac18,11,Ncess,10,N10,NN10,2017,B1,NN10_1
Bac19,12,Ncess,15,N15,NN15,2017,B1,NN15_1
Bac20,13,Ncess,20,N20,NN20,2017,B1,NN20_1
Bac21,14,Ncess,50,N50,NN50,2017,B1,NN50_1
Bac29,15,Ncont,0,N0,YN0,2017,B2,YN00_2
Bac30,16,Ncont,2,N2,YN2,2017,B2,YN02_2
Bac31,17,Ncont,5,N5,YN5,2017,B2,YN05_2
Bac32,18,Ncont,10,N10,YN10,2017,B2,YN10_2
Bac33,19,Ncont,15,N15,YN15,2017,B2,YN15_2
Bac34,20,Ncont,20,N20,YN20,2017,B2,YN20_2
Bac35,21,Ncont,50,N50,YN50,2017,B2,YN50_2
Bac43,22,Ncess,0,N0,NN0,2017,B2,NN00_2
Bac44,23,Ncess,2,N2,NN2,2017,B2,NN02_2
Bac45,24,Ncess,5,N5,NN5,2017,B2,NN05_2
Bac46,25,Ncess,10,N10,NN10,2017,B2,NN10_2
Bac47,26,Ncess,15,N15,NN15,2017,B2,NN15_2
Bac48,27,Ncess,20,N20,NN20,2017,B2,NN20_2
Bac49,28,Ncess,50,N50,NN50,2017,B2,NN50_2
Bac57,29,Ncont,0,N0,YN0,2017,B3,YN00_3
Bac58,30,Ncont,2,N2,YN2,2017,B3,YN02_3
Bac59,31,Ncont,5,N5,YN5,2017,B3,YN05_3
Bac60,32,Ncont,10,N10,YN10,2017,B3,YN10_3
Bac61,33,Ncont,15,N15,YN15,2017,B3,YN15_3
Bac62,34,Ncont,20,N20,YN20,2017,B3,YN20_3
Bac63,35,Ncont,50,N50,YN50,2017,B3,YN50_3
Bac71,36,Ncess,0,N0,NN0,2017,B3,NN00_3
Bac72,37,Ncess,2,N2,NN2,2017,B3,NN02_3
