OTU,kingdom,phylum,class,order,family,genus,species
OTU1,Bacteria,Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__norank_o__Rhizobiales,g__norank_f__norank_o__Rhizobiales,s__metagenome_g__norank_f__norank_o__Rhizobiales
OTU10,Bacteria,Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Altererythrobacter,s__uncultured_bacterium_g__Altererythrobacter
OTU100,Bacteria,Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__SM1A02,s__uncultured_bacterium_g__SM1A02
OTU1000,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__LWQ8,g__norank_f__LWQ8,s__uncultured_bacterium_g__norank_f__LWQ8
OTU10000,Bacteria,Verrucomicrobiota,c__Chlamydiae,o__Chlamydiales,f__Waddliaceae,g__Waddlia,s__uncultured_bacterium_g__Waddlia
OTU10001,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__norank_f__Diplorickettsiaceae,s__unclassified_g__norank_f__Diplorickettsiaceae
OTU10002,Bacteria,Acidobacteriota,c__Blastocatellia,o__Blastocatellales,f__Blastocatellaceae,g__unclassified_f__Blastocatellaceae,s__unclassified_f__Blastocatellaceae
OTU10003,Bacteria,Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae,g__RB41,s__uncultured_bacterium_g__RB41
OTU10004,Bacteria,Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__unclassified_g__norank_f__Gemmataceae
OTU10005,Bacteria,Verrucomicrobiota,c__Omnitrophia,o__Omnitrophales,f__Omnitrophaceae,g__Candidatus_Omnitrophus,s__unclassified_g__Candidatus_Omnitrophus
OTU10006,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__Aquicella,s__uncultured_bacterium_g__Aquicella
OTU10007,Bacteria,Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Microscillaceae,g__norank_f__Microscillaceae,s__unclassified_g__norank_f__Microscillaceae
OTU10008,Bacteria,Chloroflexi,c__OLB14,o__norank_c__OLB14,f__norank_o__norank_c__OLB14,g__norank_f__norank_o__norank_c__OLB14,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__OLB14
OTU10009,Bacteria,Abditibacteriota,c__Abditibacteria,o__Abditibacteriales,f__Abditibacteriaceae,g__Abditibacterium,s__unclassified_g__Abditibacterium
OTU1001,Bacteria,Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae,g__Hymenobacter,s__uncultured_bacterium_g__Hymenobacter
OTU10010,Bacteria,unclassified_k__norank_d__Bacteria,c__unclassified_k__norank_d__Bacteria,o__unclassified_k__norank_d__Bacteria,f__unclassified_k__norank_d__Bacteria,g__unclassified_k__norank_d__Bacteria,s__unclassified_k__norank_d__Bacteria
OTU10011,Bacteria,Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__unclassified_o__Acidobacteriales,g__unclassified_o__Acidobacteriales,s__unclassified_o__Acidobacteriales
OTU10012,Bacteria,Myxococcota,c__Myxococcia,o__Myxococcales,f__Myxococcaceae,g__KD3-10,s__metagenome_g__KD3-10
OTU10013,Bacteria,Firmicutes,c__Bacilli,o__Entomoplasmatales,f__type_III,g__norank_f__type_III,s__uncultured_Mollicutes_bacterium_g__norank
OTU10014,Bacteria,Planctomycetota,c__Planctomycetes,o__Isosphaerales,f__Isosphaeraceae,g__norank_f__Isosphaeraceae,s__uncultured_bacterium_g__norank_f__Isosphaeraceae
OTU10015,Bacteria,Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,f__JG30-KF-CM45,g__norank_f__JG30-KF-CM45,s__uncultured_Chloroflexi_bacterium_g__norank_f__JG30-KF-CM45
OTU10016,Bacteria,Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__NS11-12_marine_group,g__norank_f__NS11-12_marine_group,s__uncultured_bacterium_g__norank_f__NS11-12_marine_group
OTU10017,Bacteria,Actinobacteriota,c__Thermoleophilia,o__unclassified_c__Thermoleophilia,f__unclassified_c__Thermoleophilia,g__unclassified_c__Thermoleophilia,s__unclassified_c__Thermoleophilia
OTU10018,Bacteria,Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__I-8,s__uncultured_bacterium_g__I-8
OTU10019,Bacteria,Patescibacteria,c__norank_p__Patescibacteria,o__norank_c__norank_p__Patescibacteria,f__norank_o__norank_c__norank_p__Patescibacteria,g__norank_f__norank_o__norank_c__norank_p__Patescibacteria,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__norank_p__Patescibacteria
OTU1002,Bacteria,Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae,g__Hymenobacter,s__unclassified_g__Hymenobacter
OTU10020,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_f__norank_o__Saccharimonadales,s__unclassified_g__norank_f__norank_o__Saccharimonadales
OTU10021,Bacteria,Actinobacteriota,c__Actinobacteria,o__Streptosporangiales,f__Thermomonosporaceae,g__Actinomadura,s__unclassified_g__Actinomadura
OTU10022,Bacteria,Armatimonadota,c__norank_p__Armatimonadota,o__norank_c__norank_p__Armatimonadota,f__norank_o__norank_c__norank_p__Armatimonadota,g__norank_f__norank_o__norank_c__norank_p__Armatimonadota,s__unclassified_g__norank_f__norank_o__norank_c__norank_p__Armatimonadota
OTU10023,Bacteria,WPS-2,c__norank_p__WPS-2,o__norank_c__norank_p__WPS-2,f__norank_o__norank_c__norank_p__WPS-2,g__norank_f__norank_o__norank_c__norank_p__WPS-2,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__norank_p__WPS-2
OTU10024,Bacteria,Armatimonadota,c__Fimbriimonadia,o__Fimbriimonadales,f__Fimbriimonadaceae,g__norank_f__Fimbriimonadaceae,s__metagenome_g__norank_f__Fimbriimonadaceae
