OTU ID,kingdom,phylum,class,order,family,genus,species
OTU10,Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Altererythrobacter,s__uncultured_bacterium_g__Altererythrobacter
OTU10003,Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae,g__RB41,s__uncultured_bacterium_g__RB41
OTU10007,Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Microscillaceae,g__norank_f__Microscillaceae,s__unclassified_g__norank_f__Microscillaceae
OTU1001,Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae,g__Hymenobacter,s__uncultured_bacterium_g__Hymenobacter
OTU10011,Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__unclassified_o__Acidobacteriales,g__unclassified_o__Acidobacteriales,s__unclassified_o__Acidobacteriales
OTU10028,Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,g__norank_f__Ilumatobacteraceae,s__unclassified_g__norank_f__Ilumatobacteraceae
OTU10029,Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Iamiaceae,g__Iamia,s__uncultured_bacterium_g__Iamia
OTU1003,Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__IMCC26256,f__norank_o__IMCC26256,g__norank_f__norank_o__IMCC26256,s__unclassified_g__norank_f__norank_o__IMCC26256
OTU10041,Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__norank_f__A4b,s__unclassified_g__norank_f__A4b
OTU10044,Bacteria,p__Acidobacteriota,c__unclassified_p__Acidobacteriota,o__unclassified_p__Acidobacteriota,f__unclassified_p__Acidobacteriota,g__unclassified_p__Acidobacteriota,s__unclassified_p__Acidobacteriota
OTU10045,Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__norank_c__Acidimicrobiia,f__norank_o__norank_c__Acidimicrobiia,g__norank_f__norank_o__norank_c__Acidimicrobiia,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__Acidimicrobiia
OTU10049,Bacteria,p__Myxococcota,c__bacteriap25,o__norank_c__bacteriap25,f__norank_o__norank_c__bacteriap25,g__norank_f__norank_o__norank_c__bacteriap25,s__metagenome_g__norank_f__norank_o__norank_c__bacteriap25
OTU10053,Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__TRA3-20,g__norank_f__TRA3-20,s__uncultured_beta_proteobacterium_g__norank_f__TRA3-20
OTU10054,Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__norank_f__Gemmatimonadaceae,s__uncultured_bacterium_g__norank_f__Gemmatimonadaceae
OTU10057,Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__IMCC26256,f__norank_o__IMCC26256,g__norank_f__norank_o__IMCC26256,s__uncultured_Actinomycetales_bacterium_g__norank_f__norank_o__IMCC26256
OTU10058,Bacteria,p__Acidobacteriota,c__Thermoanaerobaculia,o__Thermoanaerobaculales,f__Thermoanaerobaculaceae,g__Subgroup_10,s__unclassified_g__Subgroup_10
OTU10065,Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__IMCC26256,f__norank_o__IMCC26256,g__norank_f__norank_o__IMCC26256,s__uncultured_bacterium_g__norank_f__norank_o__IMCC26256
OTU10066,Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__unclassified_c__Acidimicrobiia,f__unclassified_c__Acidimicrobiia,g__unclassified_c__Acidimicrobiia,s__unclassified_c__Acidimicrobiia
OTU10079,Bacteria,p__Armatimonadota,c__norank_p__Armatimonadota,o__norank_c__norank_p__Armatimonadota,f__norank_o__norank_c__norank_p__Armatimonadota,g__norank_f__norank_o__norank_c__norank_p__Armatimonadota,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__norank_p__Armatimonadota
OTU1008,Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Micropepsales,f__Micropepsaceae,g__norank_f__Micropepsaceae,s__metagenome_g__norank_f__Micropepsaceae
OTU10088,Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__norank_f__A4b,s__uncultured_soil_bacterium_g__norank_f__A4b
OTU10089,Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__norank_c__Acidimicrobiia,f__norank_o__norank_c__Acidimicrobiia,g__norank_f__norank_o__norank_c__Acidimicrobiia,s__unclassified_g__norank_f__norank_o__norank_c__Acidimicrobiia
OTU10092,Bacteria,p__Chloroflexi,c__Anaerolineae,o__RBG-13-54-9,f__norank_o__RBG-13-54-9,g__norank_f__norank_o__RBG-13-54-9,s__unclassified_g__norank_f__norank_o__RBG-13-54-9
OTU10101,Bacteria,p__Chloroflexi,c__Anaerolineae,o__Ardenticatenales,f__norank_o__Ardenticatenales,g__norank_f__norank_o__Ardenticatenales,s__uncultured_bacterium_g__norank_f__norank_o__Ardenticatenales
OTU10112,Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__S32,g__TM7,s__unclassified_g__TM7
OTU10114,Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__AKYG587,s__uncultured_bacterium_g__AKYG587
OTU10127,Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__unclassified_g__norank_f__Gemmataceae
OTU10129,Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Rhodoplanes,s__uncultured_Alphaproteobacteria_bacterium_g__Rhodoplanes
OTU10145,Bacteria,p__Chloroflexi,c__KD4-96,o__norank_c__KD4-96,f__norank_o__norank_c__KD4-96,g__norank_f__norank_o__norank_c__KD4-96,s__unclassified_g__norank_f__norank_o__norank_c__KD4-96
OTU10148,Bacteria,p__Chloroflexi,c__Chloroflexia,o__Chloroflexales,f__Roseiflexaceae,g__norank_f__Roseiflexaceae,s__uncultured_bacterium_g__norank_f__Roseiflexaceae
OTU10167,Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,g__Gaiella,s__uncultured_bacterium_g__Gaiella
OTU10177,Bacteria,p__Actinobacteriota,c__Actinobacteria,o__0319-7L14,f__norank_o__0319-7L14,g__norank_f__norank_o__0319-7L14,s__uncultured_bacterium_g__norank_f__norank_o__0319-7L14
OTU10232,Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__Rhodanobacter,s__uncultured_Rudaea_sp.
OTU10256,Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae,g__Solirubrobacter,s__unclassified_g__Solirubrobacter
OTU10267,Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__norank_f__A4b,s__unclassified_g__norank_f__A4b
OTU10269,Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__norank_o__Microtrichales,g__norank_f__norank_o__Microtrichales,s__unclassified_g__norank_f__norank_o__Microtrichales
OTU10286,Bacteria,p__Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,f__JG30-KF-CM45,g__norank_f__JG30-KF-CM45,s__bacterium_Ellin6537
OTU10294,Bacteria,p__unclassified_k__norank_d__Bacteria,c__unclassified_k__norank_d__Bacteria,o__unclassified_k__norank_d__Bacteria,f__unclassified_k__norank_d__Bacteria,g__unclassified_k__norank_d__Bacteria,s__unclassified_k__norank_d__Bacteria
OTU10319,Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__Aquicella,s__unclassified_g__Aquicella
OTU10325,Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__Gemmatimonas,s__bacterium_Ellin5290
OTU10335,Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__unclassified_f__Bacillaceae,s__unclassified_f__Bacillaceae
OTU1034,Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__norank_f__A4b,s__uncultured_gamma_proteobacterium_g__norank_f__A4b
OTU10349,Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__norank_f__Caulobacteraceae,s__metagenome_g__norank_f__Caulobacteraceae
OTU10352,Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__norank_o__Vicinamibacterales,g__norank_f__norank_o__Vicinamibacterales,s__unclassified_g__norank_f__norank_o__Vicinamibacterales
OTU10369,Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__norank_o__Vicinamibacterales,g__norank_f__norank_o__Vicinamibacterales,s__uncultured_bacterium_259
OTU10391,Bacteria,p__Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,f__AKYG1722,g__norank_f__AKYG1722,s__unclassified_g__norank_f__AKYG1722
OTU10393,Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__SC-I-84,g__norank_f__SC-I-84,s__uncultured_bacterium_g__norank_f__SC-I-84
OTU10400,Bacteria,p__Myxococcota,c__Polyangia,o__Haliangiales,f__Haliangiaceae,g__Haliangium,s__unclassified_g__Haliangium
OTU10410,Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Mucilaginibacter,s__unclassified_g__Mucilaginibacter
OTU10414,Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Puia,s__unclassified_g__Puia
OTU10415,Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Pseudoflavitalea,s__metagenome_g__Pseudoflavitalea
OTU1042,Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__norank_o__Microtrichales,g__norank_f__norank_o__Microtrichales,s__unclassified_g__norank_f__norank_o__Microtrichales
OTU10420,Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__UTBCD1,s__uncultured_bacterium_g__UTBCD1
OTU10421,Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__AKYH767,g__norank_f__AKYH767,s__uncultured_bacterium_g__norank_f__AKYH767
OTU10424,Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Niastella,s__uncultured_bacterium_g__Niastella
OTU10427,Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__norank_f__Chitinophagaceae,s__unclassified_g__norank_f__Chitinophagaceae
OTU10437,Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Vicinamibacteraceae,g__norank_f__Vicinamibacteraceae,s__unclassified_g__norank_f__Vicinamibacteraceae
OTU10441,Bacteria,p__Nitrospirota,c__Nitrospiria,o__Nitrospirales,f__Nitrospiraceae,g__Nitrospira,s__uncultured_Nitrospira_sp._g__Nitrospira
