"","Shannon.Wiener","Simpson","observed_species","Chao1","ACE","Nadd","Nlevel","Nitrogen","Treatment","Year","Block"
"Bac1",6.78677412161243,0.99693701399984,2516,3889.75296912114,3921.05827043766,"Ncont",0,"N0","N+N0",2017,"B1"
"Bac2",6.58747935618911,0.995981592123661,2334,3601.61306532663,3710.08056986001,"Ncont",2,"N2","N+N2",2017,"B1"
"Bac3",6.74282399166837,0.99664427128392,2490,3906.03147699758,3980.18138539734,"Ncont",5,"N5","N+N5",2017,"B1"
"Bac4",6.68179544494729,0.996563157175117,2392,3846.0509383378,3857.31949865224,"Ncont",10,"N10","N+N10",2017,"B1"
"Bac5",6.17418631799259,0.992410584171025,1980,3082.59701492537,3197.05097151992,"Ncont",15,"N15","N+N15",2017,"B1"
"Bac6",6.78811702115519,0.996871203761249,2557,3925.1662817552,3995.3781277745,"Ncont",20,"N20","N+N20",2017,"B1"
"Bac7",4.46624716434935,0.95558762914259,766,1215.63333333333,1263.99618701239,"Ncont",50,"N50","N+N50",2017,"B1"
"Bac15",6.74115825028338,0.996946095614948,2437,3949.98076923077,3844.71256716312,"Ncess",0,"N0","N-N0",2017,"B1"
"Bac16",6.75850709628618,0.996792868087167,2509,3978.07178217822,3990.20894249127,"Ncess",2,"N2","N-N2",2017,"B1"
"Bac17",6.8298852114829,0.996682477009262,2586,4044.38902147971,4059.1262881687,"Ncess",5,"N5","N-N5",2017,"B1"
"Bac18",6.65982022751297,0.995657378464296,2400,3648.18518518519,3745.03414139594,"Ncess",10,"N10","N-N10",2017,"B1"
"Bac19",6.69412257206798,0.996178258545094,2500,4222.41239892183,4115.92673789234,"Ncess",15,"N15","N-N15",2017,"B1"
"Bac20",6.52007637615736,0.995668456236389,2261,3422.40954773869,3592.19927366197,"Ncess",20,"N20","N-N20",2017,"B1"
"Bac21",4.5632126493154,0.972716103730316,585,999.380952380952,914.117080832347,"Ncess",50,"N50","N-N50",2017,"B1"
"Bac29",6.85954368648581,0.997224199846317,2677,4490.50248756219,4352.35275696096,"Ncont",0,"N0","N+N0",2017,"B2"
"Bac30",6.84501673764686,0.997474160062549,2529,3995.37623762376,4007.11813485696,"Ncont",2,"N2","N+N2",2017,"B2"
"Bac31",6.76672860314921,0.99683759279365,2478,3907.92639593909,3900.44221891353,"Ncont",5,"N5","N+N5",2017,"B2"
"Bac32",6.71015644699831,0.996932536134173,2377,3899.13725490196,3831.26488401658,"Ncont",10,"N10","N+N10",2017,"B2"
"Bac33",6.78218458799247,0.997259753020711,2468,3799.4375,3857.78971635155,"Ncont",15,"N15","N+N15",2017,"B2"
"Bac34",6.73940395856695,0.997286755090187,2370,3716.22811671088,3752.82532382984,"Ncont",20,"N20","N+N20",2017,"B2"
"Bac35",3.74144180980198,0.874087524721999,505,838.915254237288,810.471553190589,"Ncont",50,"N50","N+N50",2017,"B2"
"Bac43",6.76634765614664,0.997001844143335,2489,4115.41018766756,4057.22365585911,"Ncess",0,"N0","N-N0",2017,"B2"
"Bac44",6.65276579104318,0.996345252362708,2469,4103.3552631579,4034.45749228237,"Ncess",2,"N2","N-N2",2017,"B2"
"Bac45",6.6993554816925,0.996524070263359,2523,4026.56470588235,4146.3966006609,"Ncess",5,"N5","N-N5",2017,"B2"
"Bac46",6.6639298110239,0.995869537581602,2341,3700.56198347107,3673.88862874482,"Ncess",10,"N10","N-N10",2017,"B2"
"Bac47",6.68411408336957,0.996635369502775,2432,3799.09375,3926.70208340946,"Ncess",15,"N15","N-N15",2017,"B2"
"Bac48",6.76208389420284,0.996991566632376,2504,4091.61675126904,4122.54251549954,"Ncess",20,"N20","N-N20",2017,"B2"
"Bac49",5.09096726785911,0.981550716891007,1096,1822.21556886228,1886.2258664557,"Ncess",50,"N50","N-N50",2017,"B2"
"Bac57",6.60574623776609,0.995768884512769,2291,3603.60664819945,3605.20369683317,"Ncont",0,"N0","N+N0",2017,"B3"
"Bac58",6.79733736265443,0.996916809654149,2555,4131.77525252525,4076.657036625,"Ncont",2,"N2","N+N2",2017,"B3"
"Bac59",6.67088594428283,0.996733693721793,2409,3859.04102564103,3896.54937970715,"Ncont",5,"N5","N+N5",2017,"B3"
"Bac60",6.7482999589774,0.996962991015729,2435,3723.77403846154,3837.53878582668,"Ncont",10,"N10","N+N10",2017,"B3"
"Bac61",6.71026938175914,0.996891875675243,2422,3888.52094240838,3883.29573670097,"Ncont",15,"N15","N+N15",2017,"B3"
"Bac62",6.54740720390018,0.995245648607063,2339,3759.546875,3830.82701884437,"Ncont",20,"N20","N+N20",2017,"B3"
"Bac63",3.60495452276945,0.854389438610343,697,1304.26,1372.08805363781,"Ncont",50,"N50","N+N50",2017,"B3"
"Bac71",6.73337787013912,0.996604069401595,2576,4045.28082191781,4106.71244567754,"Ncess",0,"N0","N-N0",2017,"B3"
"Bac72",6.60702477266111,0.996379906367289,2375,3743.199513382,3922.88562093548,"Ncess",2,"N2","N-N2",2017,"B3"
"Bac73",6.67194611799428,0.996503164565214,2491,4047.0223880597,4058.22890668658,"Ncess",5,"N5","N-N5",2017,"B3"
"Bac74",6.90471873950761,0.997146646449972,2804,4259.62941176471,4427.70414785715,"Ncess",10,"N10","N-N10",2017,"B3"
"Bac75",6.85696037238018,0.997318208050235,2554,3870.87943262411,3884.22705936083,"Ncess",15,"N15","N-N15",2017,"B3"
"Bac76",6.61147830038645,0.995827465426066,2347,3640.68010075567,3751.42266564506,"Ncess",20,"N20","N-N20",2017,"B3"
"Bac77",6.19119122332887,0.990510278688872,2067,3159.54237288136,3245.40258773425,"Ncess",50,"N50","N-N50",2017,"B3"
"Bac85",6.76846780676555,0.996969150328946,2586,4137.61484918793,4244.44400357083,"Ncont",0,"N0","N+N0",2017,"B4"
"Bac86",6.78003175167143,0.997142510268834,2559,4133.7648456057,4237.36126231888,"Ncont",2,"N2","N+N2",2017,"B4"
"Bac87",6.71104521883231,0.996671668988113,2499,4188.09448818898,4169.54432778054,"Ncont",5,"N5","N+N5",2017,"B4"
