"","x"
"OTU7110",0
"OTU4318",0
"OTU7181",0
"OTU12239",0
"OTU11761",0
"OTU8699",0
"OTU9878",0
"OTU10920",0
"OTU5973",0
"OTU6821",0
"OTU12009",0
"OTU12274",0
"OTU3954",0
"OTU11184",0
"OTU620",0
"OTU1821",0
"OTU2361",0
"OTU3209",0
"OTU10588",0
"OTU5469",0
"OTU11786",0
"OTU11934",0
"OTU7579",0
"OTU11794",0
"OTU1965",0
"OTU3133",0
"OTU7186",0
"OTU10734",0
"OTU11473",0
"OTU6673",0
"OTU3769",0
"OTU11341",0
"OTU1069",0
"OTU536",0
"OTU3179",0
"OTU12316",0
"OTU9051",0
"OTU7239",0
"OTU5174",0
"OTU9216",0
"OTU11135",0
"OTU12296",0
"OTU4960",0
"OTU8411",0
"OTU9363",0
"OTU1808",0
"OTU9162",0
"OTU1576",0
"OTU4844",0
"OTU494",0
"OTU3180",0
"OTU5286",0
"OTU3226",0
"OTU3949",0
"OTU910",0
"OTU9533",0
"OTU12360",0
"OTU5912",0
"OTU965",0
"OTU3060",0
"OTU10251",0
"OTU5047",0
"OTU1640",0
"OTU5004",0
"OTU9946",0
"OTU10026",0
"OTU2004",0
"OTU10306",0
"OTU4799",0
"OTU8625",0
"OTU10564",0
"OTU9169",0
"OTU5050",0
"OTU6337",0
"OTU175",0
"OTU1178",0
"OTU3093",0
"OTU3912",0
"OTU1785",0
"OTU2708",0
"OTU1828",0
"OTU8696",0
"OTU525",0
"OTU1659",0
"OTU7063",0
"OTU4156",0
"OTU6319",0
"OTU5387",0
"OTU3446",0
"OTU8126",0
"OTU1132",0
"OTU3387",0
"OTU10656",0
"OTU11343",0
"OTU9312",0
"OTU5459",0
"OTU8224",0
"OTU1165",0
"OTU12350",0
"OTU840",0
"OTU4964",0
"OTU9523",0
"OTU2899",0
"OTU10541",0
"OTU1059",0
"OTU2505",0
"OTU2189",0
"OTU9207",0
"OTU8193",0
"OTU8783",0
"OTU1755",0
"OTU4966",0
"OTU11082",0
"OTU7619",0
"OTU7082",0
"OTU6536",0
"OTU3260",0
"OTU2355",0
"OTU3413",0
"OTU245",0
"OTU2740",0
"OTU4452",0
"OTU5782",0
"OTU7432",0
"OTU10179",0
"OTU10605",0
"OTU3109",0
"OTU3252",0
"OTU5532",0
"OTU6287",0
"OTU12217",0
"OTU1266",0
"OTU7029",0
"OTU3605",0
"OTU7000",0
"OTU4154",0
"OTU821",0
"OTU2022",0
"OTU9590",0
"OTU2090",0
"OTU12191",0
"OTU1818",0
"OTU2514",0
"OTU1717",0
"OTU143",0
"OTU80",0
"OTU2912",0
"OTU12189",0
"OTU630",0
