"","x"
"1",-0.816496580927726
"2",-0.801783725737273
"3",NA
"4",-1.65773402769343
"5",NA
"6",NA
"7",0.133630620956213
"8",NA
"9",NA
"10",NA
"11",1.15549332977946
"12",1.15549332977946
"13",-0.866025403784439
"14",0.866025403784439
"15",1.63299316185545
"16",-0.577350269189626
"17",NA
"18",NA
"19",-0.866025403784439
"20",-0.577350269189626
"21",0.133630620956213
"22",NA
"23",-1.43427433120127
"24",NA
"25",NA
"26",-0.577350269189626
"27",NA
"28",-0.577350269189626
"29",NA
"30",0.3530939318019
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",0.866025403784439
"37",-0.377964473009227
"38",NA
"39",-0.577350269189626
"40",-0.866025403784439
"41",1.40329283089125
"42",-1.54065777303929
"43",-0.350823207722812
"44",NA
"45",NA
"46",-0.447213595499958
"47",0.634876861669823
"48",-0.577350269189626
"49",0.176354683797173
"50",NA
"51",-0.866025403784439
"52",NA
"53",NA
"54",0.526234811584218
"55",NA
"56",NA
"57",0.634876861669823
"58",-0.64194073876637
"59",NA
"60",NA
"61",NA
"62",NA
"63",0.256776295506548
"64",1.15470053837925
"65",NA
"66",0.634876861669823
"67",-0.377964473009227
"68",-0.282167494075477
"69",NA
"70",NA
"71",NA
"72",-0.350823207722812
"73",NA
"74",-1.50064921015807
"75",NA
"76",-0.239045721866879
"77",-1.20009376098776
"78",0.3530939318019
"79",NA
"80",NA
"81",NA
"82",0.15001172012347
"83",NA
"84",-0.243975018237133
"85",NA
"86",NA
"87",NA
"88",NA
"89",0.866025403784439
"90",NA
"91",-0.5
"92",NA
"93",NA
"94",-1.22474487139159
"95",NA
"96",NA
"97",NA
"98",NA
"99",NA
"100",0.670820393249937
"101",0.866025403784439
"102",NA
"103",NA
"104",-0.377964473009227
"105",-0.377964473009227
"106",NA
"107",1.21987509118567
"108",-0.866025403784439
"109",2.01044339528777
"110",NA
"111",NA
"112",NA
"113",-0.239045721866879
"114",NA
"115",0.133630620956213
"116",-0.577350269189626
"117",0.866025403784439
"118",NA
"119",NA
"120",1.22474487139159
"121",NA
"122",0.866025403784439
"123",NA
"124",-0.975900072948533
"125",NA
"126",-0.64194073876637
"127",1.5
"128",NA
"129",NA
"130",NA
"131",NA
"132",NA
"133",-0.5
"134",NA
"135",1.0223972648865
"136",NA
"137",0.256776295506548
"138",-0.408958905954598
"139",0.634876861669823
"140",-0.866025403784439
"141",NA
"142",-1.12463699137515
"143",0.956182887467515
"144",1.0690449676497
"145",NA
"146",NA
"147",-0.577350269189626
"148",NA
"149",1.5001172012347
"150",0.956182887467515
"151",NA
"152",-0.866025403784439
"153",NA
"154",NA
"155",0
"156",NA
"157",NA
"158",-0.264820448851425
"159",-0.975900072948533
"160",NA
"161",-0.282167494075477
"162",NA
"163",NA
"164",NA
"165",NA
"166",NA
"167",NA
"168",0.3530939318019
"169",-0.740689671948127
"170",NA
"171",NA
"172",NA
"173",-1.20009376098776
"174",NA
"175",-1.43427433120127
"176",NA
"177",0.866025403784439
"178",-0.577350269189626
"179",-0.282167494075477
"180",0.176354683797173
"181",-0.866025403784439
"182",NA
"183",NA
"184",0
"185",-0.408958905954598
"186",1.15470053837925
"187",-0.866025403784439
"188",-0.239045721866879
"189",0.670820393249937
"190",0.15001172012347
"191",-0.866025403784439
"192",NA
"193",NA
"194",-0.5
"195",NA
"196",NA
"197",1.15470053837925
"198",-1.22788122702984
"199",NA
"200",-0.243975018237133
"201",NA
"202",1.22474487139159
"203",NA
"204",NA
"205",NA
"206",NA
"207",NA
"208",0
"209",2.26778683805536
"210",NA
"211",NA
"212",NA
"213",NA
"214",NA
"215",-1.12463699137515
"216",1.22474487139159
"217",-1.22474487139159
"218",0.956182887467515
"219",-0.239045721866879
"220",NA
"221",1.0690449676497
"222",-0.577350269189626
"223",-1.20009376098776
"224",1.15470053837925
"225",NA
"226",0
"227",NA
"228",NA
"229",NA
"230",0
"231",1.0223972648865
"232",-1.22474487139159
"233",0.670820393249937
"234",0.408248290463863
"235",0.866025403784439
"236",-0.577350269189626
"237",NA
"238",NA
"239",NA
"240",NA
"241",NA
"242",1.0223972648865
"243",1.58892269310855
"244",NA
"245",NA
"246",NA
"247",NA
"248",1.15470053837925
"249",0.866025403784439
"250",NA
"251",NA
"252",NA
"253",0.866025403784439
"254",NA
"255",-0.577350269189626
"256",0.956182887467515
"257",NA
"258",NA
"259",NA
"260",-1.56524758424985
"261",NA
"262",-0.577350269189626
"263",NA
"264",0.866025403784439
"265",NA
"266",-1.65773402769343
"267",-0.88273482950475
"268",NA
"269",-0.866025403784439
"270",NA
"271",0.825064460679084
"272",NA
"273",NA
"274",NA
"275",1.15470053837925
"276",0.825064460679084
"277",-0.377964473009227
"278",NA
"279",NA
"280",NA
"281",NA
"282",1.21987509118567
"283",NA
"284",NA
"285",NA
"286",0.15001172012347
"287",NA
"288",-1.73719807243076
"289",NA
"290",0.408248290463863
"291",NA
"292",-0.577350269189626
"293",NA
"294",NA
"295",NA
"296",NA
"297",-0.577350269189626
"298",NA
"299",-0.816496580927726
"300",NA
"301",NA
"302",NA
"303",NA
"304",NA
"305",NA
"306",-0.577350269189626
"307",NA
"308",0.866025403784439
"309",1.15470053837925
"310",-0.816496580927726
"311",NA
"312",NA
"313",NA
"314",-0.377964473009227
"315",0
"316",NA
"317",1.15470053837925
"318",NA
"319",NA
"320",-1.43427433120127
"321",NA
"322",NA
"323",NA
"324",NA
"325",NA
"326",-0.577350269189626
"327",NA
"328",NA
"329",-0.816496580927726
"330",-0.239045721866879
"331",NA
"332",NA
"333",-0.577350269189626
"334",NA
"335",0.956182887467515
"336",NA
"337",NA
"338",-0.577350269189626
"339",-0.577350269189626
"340",0.408248290463863
"341",NA
"342",NA
"343",NA
"344",NA
"345",NA
"346",NA
"347",NA
"348",NA
"349",1.63299316185545
"350",NA
"351",0.956182887467515
"352",NA
"353",NA
"354",-0.816496580927726
"355",NA
"356",NA
"357",NA
"358",NA
"359",NA
"360",-0.816496580927726
"361",NA
"362",NA
"363",NA
"364",1.15470053837925
"365",NA
"366",NA
"367",NA
"368",NA
"369",NA
"370",NA
"371",NA
"372",0.408248290463863
"373",NA
"374",NA
"375",NA
"376",NA
"377",NA
"378",NA
"379",NA
"380",NA
"381",NA
"382",-0.239045721866879
"383",NA
"384",NA
"385",NA
"386",NA
"387",NA
"388",NA
"389",NA
"390",NA
"391",NA
"392",NA
"393",NA
"394",NA
"395",-0.866025403784439
"396",NA
"397",NA
"398",NA
"399",NA
"400",NA
"401",NA
"402",-0.577350269189626
"403",NA
"404",NA
"405",NA
"406",NA
"407",NA
"408",NA
"409",NA
"410",NA
"411",NA
"412",NA
"413",NA
"414",NA
"415",NA
"416",NA
"417",NA
"418",NA
"419",NA
"420",NA
"421",1.15470053837925
"422",NA
"423",NA
"424",NA
"425",NA
"426",NA
"427",NA
"428",-0.577350269189626
"429",NA
"430",-0.577350269189626
"431",1.15470053837925
"432",-0.577350269189626
"433",-0.985192292511214
"434",NA
"435",NA
"436",NA
"437",NA
"438",0.866025403784439
"439",NA
"440",NA
"441",NA
"442",-0.577350269189626
"443",1.15470053837925
"444",-0.577350269189626
"445",-0.577350269189626
"446",NA
"447",-0.577350269189626
"448",NA
"449",1.15470053837925
"450",-0.577350269189626
"451",-1.08012344973464
"452",NA
"453",NA
"454",NA
"455",NA
"456",NA
"457",NA
"458",NA
"459",NA
"460",NA
"461",1.78885438199983
"462",NA
"463",0
"464",NA
"465",1.15470053837925
"466",NA
"467",0
"468",-0.577350269189626
"469",NA
"470",NA
"471",-0.866025403784439
"472",-0.316346148971491
"473",-0.447213595499958
"474",NA
"475",NA
"476",NA
"477",NA
"478",NA
"479",NA
"480",-0.650769220741352
"481",NA
"482",NA
"483",0.686923066338094
"484",1.08012344973464
"485",0.866025403784439
"486",NA
"487",NA
"488",NA
"489",NA
"490",NA
"491",NA
"492",NA
"493",1.15470053837925
"494",-0.577350269189626
"495",NA
"496",-0.447213595499958
"497",NA
"498",NA
"499",NA
"500",NA
"501",0.866025403784439
"502",-0.650769220741352
"503",NA
"504",NA
"505",0
"506",NA
"507",NA
"508",NA
"509",NA
"510",NA
"511",NA
"512",NA
"513",NA
"514",-0.447213595499958
"515",NA
"516",NA
"517",-0.985192292511214
"518",1.15470053837925
"519",NA
"520",NA
"521",0.0180769227983709
"522",-0.316346148971491
"523",1.22474487139159
"524",-0.316346148971491
"525",NA
"526",NA
"527",NA
"528",1.15470053837925
"529",NA
"530",2.16024689946929
"531",NA
"532",NA
"533",NA
"534",NA
"535",NA
"536",NA
"537",NA
"538",0
"539",NA
"540",-1.4142135623731
"541",NA
"542",NA
"543",-0.650769220741352
"544",NA
"545",0.866025403784439
"546",-0.316346148971491
"547",NA
"548",NA
"549",-0.866025403784439
"550",NA
"551",NA
"552",NA
"553",-0.866025403784439
"554",-1.08012344973464
"555",NA
"556",-0.577350269189626
"557",NA
"558",NA
"559",0
"560",NA
"561",NA
"562",NA
"563",1.15470053837925
"564",0
"565",0
"566",0.866025403784439
"567",-0.866025403784439
"568",NA
"569",-1.22474487139159
"570",1.4142135623731
"571",1.08012344973464
"572",NA
"573",NA
"574",-0.577350269189626
"575",1.35576920987782
"576",-0.866025403784439
"577",NA
"578",-0.866025403784439
"579",NA
"580",NA
"581",-1.08012344973464
"582",NA
"583",NA
"584",-0.577350269189626
"585",-0.577350269189626
"586",-0.316346148971491
"587",1.15470053837925
"588",-0.650769220741352
"589",-0.577350269189626
"590",NA
"591",1.15470053837925
"592",NA
"593",NA
"594",NA
"595",NA
"596",1.35576920987782
"597",-0.650769220741352
"598",NA
"599",0
"600",-0.316346148971491
"601",1.15470053837925
"602",1.02134613810796
"603",NA
"604",NA
"605",-1.08012344973464
"606",NA
"607",0.866025403784439
"608",2.69346149695726
"609",-1.08012344973464
"610",-0.985192292511214
"611",-0.985192292511214
"612",0.866025403784439
"613",0.0180769227983709
"614",-0.577350269189626
"615",NA
"616",-0.577350269189626
"617",1.69019228164768
"618",NA
"619",0
"620",NA
"621",0.686923066338094
"622",2.02461535341754
"623",NA
"624",-0.577350269189626
"625",NA
"626",-0.650769220741352
"627",NA
"628",NA
"629",-0.650769220741352
"630",0.866025403784439
"631",NA
"632",-0.650769220741352
"633",NA
"634",-0.985192292511214
"635",-0.577350269189626
"636",0.866025403784439
"637",NA
"638",-0.316346148971491
"639",NA
"640",-0.577350269189626
"641",NA
"642",-0.866025403784439
"643",NA
"644",-0.577350269189626
"645",NA
"646",NA
"647",NA
"648",1.69019228164768
"649",0
"650",1.08012344973464
"651",-0.985192292511214
"652",-0.866025403784439
"653",NA
"654",-0.447213595499958
"655",NA
"656",-0.577350269189626
"657",NA
"658",1.35576920987782
"659",NA
"660",NA
"661",-0.650769220741352
"662",-0.866025403784439
"663",1.15470053837925
"664",NA
"665",0
"666",NA
"667",0.352499994568232
"668",NA
"669",-0.866025403784439
"670",-0.577350269189626
"671",NA
"672",0.0180769227983709
"673",-0.985192292511214
"674",NA
"675",0.866025403784439
"676",NA
