"","x"
"OTU11763",0
"OTU6220",0
"OTU1294",0
"OTU10160",0
"OTU6055",0
"OTU6402",0
"OTU8125",0
"OTU7253",0
"OTU12009",0
"OTU11871",0
"OTU2082",0
"OTU10363",0
"OTU170",0
"OTU383",0
"OTU1503",0
"OTU10859",0
"OTU12330",0
"OTU10210",0
"OTU10489",0
"OTU10955",0
"OTU6544",0
"OTU12313",0
"OTU3565",0
"OTU11818",0
"OTU4675",0
"OTU3133",0
"OTU10035",0
"OTU2067",0
"OTU3054",0
"OTU579",0
"OTU6673",0
"OTU1940",0
"OTU941",0
"OTU1069",0
"OTU3638",0
"OTU3179",0
"OTU7953",0
"OTU4565",0
"OTU3234",0
"OTU3967",0
"OTU8411",0
"OTU3549",0
"OTU1712",0
"OTU5324",0
"OTU639",0
"OTU3961",0
"OTU11743",0
"OTU3068",0
"OTU213",0
"OTU11750",0
"OTU360",0
"OTU11079",0
"OTU32",0
"OTU2002",0
"OTU2333",0
"OTU12360",0
"OTU10045",0
"OTU3060",0
"OTU1858",0
"OTU10415",0
"OTU2031",0
"OTU1640",0
"OTU9107",0
"OTU11395",0
"OTU4799",0
"OTU2093",0
"OTU10113",0
"OTU10357",0
"OTU1178",0
"OTU9830",0
"OTU3912",0
"OTU6034",0
"OTU4180",0
"OTU7802",0
"OTU2619",0
"OTU10975",0
"OTU9214",0
"OTU2334",0
"OTU4423",0
"OTU525",0
"OTU10431",0
"OTU3848",0
"OTU1873",0
"OTU5030",0
"OTU902",0
"OTU1914",0
"OTU11566",0
"OTU468",0
"OTU12174",0
"OTU6343",0
"OTU9515",0
"OTU7144",0
"OTU1165",0
"OTU1589",0
"OTU87",0
"OTU1547",0
"OTU5715",0
"OTU11519",0
"OTU11817",0
"OTU7412",0
"OTU5588",0
"OTU449",0
"OTU3827",0
"OTU2554",0
"OTU2189",0
"OTU9496",0
"OTU10768",0
"OTU7427",0
"OTU4943",0
"OTU4667",0
"OTU6461",0
"OTU92",0
"OTU8235",0
"OTU4966",0
"OTU6495",0
"OTU11386",0
"OTU9439",0
"OTU8883",0
"OTU7389",0
"OTU208",0
"OTU11941",0
"OTU11440",0
"OTU11332",0
"OTU3203",0
"OTU1275",0
"OTU1277",0
"OTU3566",0
"OTU9058",0
"OTU8702",0
"OTU9922",0
"OTU9703",0
"OTU8072",0
"OTU909",0
"OTU4535",0
"OTU11804",0
"OTU657",0
"OTU1616",0
"OTU4154",0
"OTU9505",0
"OTU2996",0
"OTU9590",0
"OTU7241",0
"OTU5506",0
"OTU11042",0
"OTU7606",0
"OTU3913",0
"OTU6132",0
"OTU2180",0
"OTU7354",0
"OTU6357",0
"OTU7051",0
"OTU3019",0
"OTU6607",0
"OTU3552",0
"OTU4119",0
"OTU630",0
"OTU9240",0
"OTU8858",0
"OTU2902",0
"OTU1827",0
"OTU9412",0
"OTU3810",0
"OTU1351",0
"OTU7378",0
"OTU12156",0
"OTU4853",0
"OTU8515",0
"OTU8933",0
"OTU8651",0
"OTU7948",0
"OTU346",0
"OTU9903",0
"OTU6155",0
"OTU1831",0
"OTU2543",0
"OTU10132",0
"OTU12299",0
"OTU966",0
"OTU25",0
"OTU8882",0
"OTU2886",0
"OTU10309",0
"OTU3045",0
"OTU5783",0
"OTU4381",0
"OTU11156",0
"OTU1855",0
"OTU458",0
"OTU2931",0
"OTU7122",0
"OTU4830",0
"OTU9795",0
"OTU2587",0
"OTU8180",0
"OTU8206",0
"OTU9474",0
"OTU5536",0
"OTU4159",0
"OTU255",0
"OTU4429",0
"OTU4073",0
"OTU1026",0
"OTU70",0
"OTU4876",0
"OTU3781",0
"OTU3043",0
"OTU5768",0
"OTU2802",0
"OTU6603",0
"OTU4971",0
"OTU5008",0
"OTU1321",0
"OTU5179",0
"OTU4210",0
"OTU64",0
"OTU5765",0
"OTU2951",0
"OTU6309",0
"OTU1959",0
"OTU10895",0
"OTU9890",0
"OTU8303",0
"OTU9500",0
"OTU2285",0
"OTU9511",0
"OTU6626",0
"OTU5603",0
"OTU4102",0
"OTU9252",0
"OTU3529",0
"OTU9114",0
"OTU8332",0
"OTU2288",0
"OTU65",0
"OTU12030",0
"OTU7248",0
"OTU7894",0
"OTU9635",0
"OTU1130",0
"OTU9799",0
"OTU8159",0
"OTU7903",0
"OTU4804",0
"OTU7925",0
"OTU7336",0
"OTU8822",0
"OTU11787",0
"OTU1456",0
"OTU4868",0
"OTU7016",0
"OTU7545",0
"OTU2844",0
"OTU2635",0
"OTU5161",0
"OTU3511",0
"OTU3927",0
"OTU429",0
"OTU11127",0
"OTU4346",0
"OTU9374",0
"OTU8163",0
"OTU8417",0
"OTU1216",0
"OTU6946",0
"OTU12287",0
"OTU11141",0
"OTU8653",0
"OTU905",0
"OTU7079",0
"OTU8412",0
"OTU11974",0
"OTU5516",0
"OTU5847",0
"OTU10638",0
"OTU11578",0
