"","x"
"1",-0.449088713139072
"2",NA
"3",-1
"4",NA
"5",-0.391396843832065
"6",0.587095265748098
"7",-0.866025403784439
"8",NA
"9",NA
"10",-0.761904761904762
"11",-1.24211800681624
"12",-0.866025403784439
"13",-0.5
"14",-0.866025403784439
"15",NA
"16",0
"17",1.65615734242165
"18",1.07634132053818
"19",0.866025403784439
"20",0.670820393249937
"21",0.949487050363096
"22",0
"23",-0.761904761904762
"24",NA
"25",NA
"26",NA
"27",1.15470053837925
"28",0.952380952380952
"29",-0.866025403784439
"30",1.15470053837925
"31",NA
"32",0.207019667802706
"33",-1.0690449676497
"34",NA
"35",0.587095265748098
"36",0.801783725737273
"37",0.207019667802706
"38",1.12272178284768
"39",0
"40",NA
"41",NA
"42",-1.0690449676497
"43",0.587095265748098
"44",NA
"45",NA
"46",0.730296743340221
"47",NA
"48",-0.577350269189626
"49",NA
"50",-1.09544511501033
"51",NA
"52",0.730296743340221
"53",NA
"54",1.15470053837925
"55",1.12272178284768
"56",NA
"57",-1.10096376512636
"58",NA
"59",1.4142135623731
"60",-0.577350269189626
"61",NA
"62",0
"63",NA
"64",-0.5
"65",NA
"66",-1.29099444873581
"67",NA
"68",NA
"69",0.730296743340221
"70",-1.22474487139159
"71",NA
"72",NA
"73",NA
"74",0.866025403784439
"75",-0.577350269189626
"76",-0.866025403784439
"77",NA
"78",NA
"79",NA
"80",NA
"81",-1.23499396113245
"82",0.645497224367902
"83",-2.34838106299239
"84",NA
"85",0.0952380952380953
"86",0
"87",-1.11803398874989
"88",NA
"89",NA
"90",-0.761904761904762
"91",1
"92",NA
"93",NA
"94",0.952380952380952
"95",NA
"96",NA
"97",-1.61904761904762
"98",-1.11803398874989
"99",-0.577350269189626
"100",-0.577350269189626
"101",1.5
"102",NA
"103",-0.577350269189626
"104",NA
"105",NA
"106",NA
"107",NA
"108",NA
"109",NA
"110",0.866025403784439
"111",0.956182887467515
"112",NA
"113",NA
"114",0.587095265748098
"115",0.55048188256318
"116",NA
"117",NA
"118",0.866025403784439
"119",-1.22474487139159
"120",NA
"121",-0.27524094128159
"122",NA
"123",-0.866025403784439
"124",-1
"125",-1.10096376512636
"126",NA
"127",NA
"128",NA
"129",NA
"130",0
"131",NA
"132",NA
"133",NA
"134",-1.6431676725155
"135",NA
"136",NA
"137",NA
"138",0.801783725737273
"139",NA
"140",0.207019667802706
"141",NA
"142",-0.816496580927726
"143",NA
"144",NA
"145",0
"146",NA
"147",-0.577350269189626
"148",1
"149",1.15470053837925
"150",1.15470053837925
"151",0.182574185835056
"152",NA
"153",-0.379794820145238
"154",NA
"155",NA
"156",1.22474487139159
"157",NA
"158",0.182574185835056
"159",-0.866025403784439
"160",-1.29099444873581
"161",1
"162",NA
"163",NA
"164",-1.04443575539941
"165",-0.379794820145238
"166",NA
"167",NA
"168",NA
"169",0.55048188256318
"170",NA
"171",0.55048188256318
"172",0.866025403784439
"173",NA
"174",NA
"175",NA
"176",NA
"177",NA
"178",0.866025403784439
"179",NA
"180",NA
"181",-1.09544511501033
"182",NA
"183",NA
"184",0.866025403784439
"185",0
"186",0.952380952380952
"187",NA
"188",0.645497224367902
"189",0.207019667802706
"190",-0.577350269189626
"191",2.27876892087143
"192",0.336816534854304
"193",-0.239045721866879
"194",NA
"195",-1.43427433120127
"196",NA
"197",NA
"198",1.11803398874989
"199",0
"200",NA
"201",NA
"202",NA
"203",0.55048188256318
"204",0.866025403784439
"205",-0.577350269189626
"206",-1.4142135623731
"207",0.956182887467515
"208",-0.379794820145238
"209",-0.27524094128159
"210",-1.23499396113245
"211",0
"212",-1.04443575539941
"213",-0.880642898622147
"214",-1
"215",NA
"216",0.0978492109580164
"217",NA
"218",NA
"219",NA
"220",0.182574185835056
"221",0.55048188256318
"222",-0.447213595499958
"223",NA
"224",NA
"225",1.63299316185545
"226",-0.379794820145238
"227",0.645497224367902
"228",NA
"229",-0.816496580927726
"230",1.09544511501033
"231",-0.866025403784439
"232",-1.04443575539941
"233",NA
"234",-1.24211800681624
"235",-1.0690449676497
"236",1.22474487139159
"237",-0.577350269189626
"238",0.866025403784439
"239",0.0978492109580164
"240",0.670820393249937
"241",0.801783725737273
"242",-0.379794820145238
"243",NA
"244",-1.56524758424985
"245",NA
"246",-0.5
"247",0.284846115108929
"248",NA
"249",NA
"250",0.952380952380952
"251",-1.92668658897113
"252",0.284846115108929
"253",1.37620470640795
"254",NA
"255",0
"256",0.866025403784439
"257",-0.577350269189626
"258",NA
"259",NA
"260",0
"261",NA
"262",NA
"263",-0.866025403784439
"264",NA
"265",1.11803398874989
"266",0.801783725737273
"267",1.15470053837925
"268",0
"269",NA
"270",0.670820393249937
"271",1
"272",NA
"273",NA
"274",NA
"275",-0.866025403784439
"276",0.645497224367902
"277",1.61412798561726
"278",0.336816534854304
"279",NA
"280",-0.577350269189626
"281",-0.379794820145238
"282",-1
"283",NA
"284",NA
"285",NA
"286",NA
"287",NA
"288",1.15470053837925
"289",-0.577350269189626
"290",NA
"291",NA
"292",0
"293",NA
"294",NA
"295",NA
"296",NA
"297",NA
"298",NA
"299",NA
"300",NA
"301",NA
