sample_name,N,Nadd,Block,Nlevel
YN00_1,N0,Ncont,B1,0
YN00_2,N0,Ncont,B2,0
YN00_3,N0,Ncont,B3,0
YN00_4,N0,Ncont,B4,0
YN02_1,N02,Ncont,B1,2
YN02_2,N02,Ncont,B2,2
YN02_3,N02,Ncont,B3,2
YN02_4,N02,Ncont,B4,2
YN02_5,N02,Ncont,B5,2
YN05_1,N05,Ncont,B1,5
YN05_2,N05,Ncont,B2,5
YN05_3,N05,Ncont,B3,5
YN05_4,N05,Ncont,B4,5
YN05_5,N05,Ncont,B5,5
YN10_1,N10,Ncont,B1,10
YN10_2,N10,Ncont,B2,10
YN10_3,N10,Ncont,B3,10
YN10_4,N10,Ncont,B4,10
YN10_5,N10,Ncont,B5,10
YN15_1,N15,Ncont,B1,15
YN15_2,N15,Ncont,B2,15
YN15_3,N15,Ncont,B3,15
YN15_4,N15,Ncont,B4,15
YN15_5,N15,Ncont,B5,15
YN20_1,N20,Ncont,B1,20
YN20_2,N20,Ncont,B2,20
YN20_3,N20,Ncont,B3,20
YN20_4,N20,Ncont,B4,20
YN20_5,N20,Ncont,B5,20
YN50_1,N50,Ncont,B1,50
YN50_2,N50,Ncont,B2,50
YN50_3,N50,Ncont,B3,50
YN50_4,N50,Ncont,B4,50
YN50_5,N50,Ncont,B5,50
NN00_1,N0,Ncess,B1,0
NN00_2,N0,Ncess,B2,0
NN00_3,N0,Ncess,B3,0
NN00_4,N0,Ncess,B4,0
NN00_5,N0,Ncess,B5,0
NN02_1,N02,Ncess,B1,2
NN02_2,N02,Ncess,B2,2
NN02_3,N02,Ncess,B3,2
NN02_4,N02,Ncess,B4,2
NN02_5,N02,Ncess,B5,2
NN05_1,N05,Ncess,B1,5
NN05_2,N05,Ncess,B2,5
NN05_3,N05,Ncess,B3,5
NN05_4,N05,Ncess,B4,5
NN05_5,N05,Ncess,B5,5
NN10_1,N10,Ncess,B1,10
NN10_2,N10,Ncess,B2,10
NN10_3,N10,Ncess,B3,10
NN10_4,N10,Ncess,B4,10
NN10_5,N10,Ncess,B5,10
NN15_1,N15,Ncess,B1,15
NN15_2,N15,Ncess,B2,15
NN15_3,N15,Ncess,B3,15
NN15_4,N15,Ncess,B4,15
NN15_5,N15,Ncess,B5,15
NN20_1,N20,Ncess,B1,20
NN20_2,N20,Ncess,B2,20
NN20_3,N20,Ncess,B3,20
NN20_4,N20,Ncess,B4,20
NN20_5,N20,Ncess,B5,20
NN50_1,N50,Ncess,B1,50
NN50_2,N50,Ncess,B2,50
NN50_3,N50,Ncess,B3,50
NN50_4,N50,Ncess,B4,50
NN50_5,N50,Ncess,B5,50
