Genus,YN00_1,YN00_2,YN00_3,YN00_4,YN02_1,YN02_2,YN02_3,YN02_4,YN02_5,YN05_1,YN05_2,YN05_3,YN05_4,YN05_5,YN10_1,YN10_2,YN10_3,YN10_4,YN10_5,YN15_1,YN15_2,YN15_3,YN15_4,YN15_5,YN20_1,YN20_2,YN20_3,YN20_4,YN20_5,YN50_1,YN50_2,YN50_3,YN50_4,YN50_5,NN00_1,NN00_2,NN00_3,NN00_4,NN00_5,NN02_1,NN02_2,NN02_3,NN02_4,NN02_5,NN05_1,NN05_2,NN05_3,NN05_4,NN05_5,NN10_1,NN10_2,NN10_3,NN10_4,NN10_5,NN15_1,NN15_2,NN15_3,NN15_4,NN15_5,NN20_1,NN20_2,NN20_3,NN20_4,NN20_5,NN50_1,NN50_2,NN50_3,NN50_4,NN50_5
genus1,8875,8596,8357,7388,8951,8654,8351,7510,10055,9467,8690,8668,7372,9265,8693,8883,8134,8773,8850,8594,8741,8567,8396,7997,7414,9278,9240,8377,9157,7514,4457,8080,6298,7404,9230,8662,8690,7378,8812,8592,9043,7991,7989,9882,8726,9295,8891,7482,8737,9132,8866,8558,8149,9191,8965,9109,8621,8095,8419,7691,9222,8414,8112,8942,7098,7571,8318,6857,6570
genus2,3831,4112,4027,4778,3791,3767,4026,4547,3075,3329,3982,4009,4366,3690,3963,3698,4200,3795,4377,3800,3701,3775,3754,4468,4867,3556,3525,3672,3733,4720,2108,3569,3200,2819,3560,3936,3908,4732,3961,4256,3842,4278,4559,3307,4054,3601,3826,4327,4190,3776,3954,3985,3908,4040,3738,3670,3911,4117,4545,4787,3615,4073,3782,3662,4088,3748,3799,3741,4022
genus3,3231,3309,3096,3718,3420,3713,3765,3804,3364,3102,3526,3760,4089,3471,3528,3703,3521,3786,3076,3597,3824,3963,3759,3344,3403,3674,3352,3987,3339,2991,2106,3849,3171,3314,3322,3486,3372,3772,3039,3200,3468,3729,3606,3310,3308,3381,3525,3911,2981,3275,3657,3437,3510,2944,3574,3482,3646,3540,2954,2997,3513,3890,4025,3093,3100,3492,3890,3649,2581
genus4,210,210,224,234,245,222,225,250,206,217,231,242,264,199,216,217,230,242,183,217,227,235,253,217,230,251,232,254,201,188,168,240,231,207,207,219,207,266,205,222,238,227,220,200,232,234,218,254,207,217,210,233,242,234,235,207,209,247,201,183,216,202,212,206,173,226,256,213,192
genus5,223,213,212,203,210,242,237,205,224,212,203,231,220,230,196,226,245,239,202,197,210,221,225,211,216,185,215,253,231,226,241,237,203,268,186,200,231,238,217,218,235,219,200,205,197,235,225,224,196,213,221,212,213,204,215,223,219,237,228,202,218,238,252,231,244,252,220,247,230
genus6,156,220,195,199,169,190,186,184,160,174,201,180,199,180,216,167,179,202,152,192,178,210,208,194,179,194,196,203,198,215,289,217,291,273,176,195,186,172,155,187,188,207,188,156,162,188,177,180,168,180,199,183,216,184,186,188,193,223,211,188,177,208,195,174,195,220,192,216,184
genus7,173,179,191,176,145,166,156,176,133,170,173,157,184,121,153,158,174,157,149,169,135,138,187,178,198,150,170,150,149,230,568,190,378,319,163,144,164,184,163,187,149,178,161,142,167,164,158,201,172,153,154,173,194,163,144,136,168,179,164,189,126,137,173,207,266,208,153,263,289
genus8,153,162,215,178,151,147,133,157,146,193,143,106,141,131,129,131,168,109,119,179,145,103,129,142,144,115,142,102,135,161,360,167,211,131,158,155,171,136,214,154,129,165,147,125,103,133,125,148,170,166,127,178,181,135,147,114,133,142,128,142,145,118,128,160,154,170,136,193,212
genus9,118,101,153,105,89,87,119,97,71,97,104,91,98,83,96,91,134,84,71,94,96,176,111,121,107,71,130,84,79,151,429,112,238,225,92,110,92,96,100,88,90,112,88,90,95,86,107,109,83,88,120,100,104,89,96,107,101,118,109,133,93,81,106,125,157,254,113,144,197
genus10,76,66,86,71,68,59,58,67,44,59,50,62,107,65,58,59,86,47,63,83,57,54,50,71,86,53,59,67,60,96,256,60,177,145,63,70,70,74,94,62,55,67,73,62,90,65,48,80,63,72,54,63,83,58,59,63,62,80,77,93,54,64,68,75,136,106,52,98,147
