BinID,functions,NN15_Refined_59,NN20_Refined_49,YN50_Refined_137,YN50_Refined_164,YN50_Refined_169,YN50_Refined_206,YN50_Refined_223,YN50_Refined_271,YN50_Refined_272,YN50_Refined_42,YN50_Refined_88,NN05_Refined_41,NN15_Refined_88,NN20_Refined_51,NN20_Refined_90,NN50_Refined_11,NN50_Refined_150,NN50_Refined_175,NN50_Refined_195,NN50_Refined_20,NN50_Refined_206,NN50_Refined_229,NN50_Refined_231,NN50_Refined_237,NN50_Refined_26,NN50_Refined_32,NN50_Refined_62,NN50_Refined_68,NN50_Refined_73,NN50_Refined_8,YN15_Refined_23,YN15_Refined_82,YN20_Refined_101,YN20_Refined_103,YN20_Refined_18,YN50_Refined_112,YN50_Refined_114,YN50_Refined_134,YN50_Refined_142,YN50_Refined_145,YN50_Refined_152,YN50_Refined_153,YN50_Refined_156,YN50_Refined_168,YN50_Refined_17,YN50_Refined_187,YN50_Refined_189,YN50_Refined_201,YN50_Refined_23,YN50_Refined_230,YN50_Refined_239,YN50_Refined_243,YN50_Refined_246,YN50_Refined_256,YN50_Refined_280,YN50_Refined_285,YN50_Refined_306,YN50_Refined_313,YN50_Refined_39,YN50_Refined_76,YN50_Refined_77,YN50_Refined_87,YN50_Refined_62,NN50_Refined_14,YN50_Refined_263,YN50_Refined_304,YN50_Refined_154,YN50_Refined_213,NN50_Refined_244,NN15_Refined_75,NN50_Refined_132,NN50_Refined_182,YN10_Refined_109,YN50_Refined_24,YN50_Refined_268,YN50_Refined_296,YN50_Refined_215,NN50_Refined_21,NN50_Refined_226,NN50_Refined_37,YN50_Refined_136,YN50_Refined_147,YN50_Refined_203,YN50_Refined_238,YN50_Refined_75,NN50_Refined_51,YN00_Refined_153,YN50_Refined_26,NN15_Refined_38,NN50_Refined_12,NN50_Refined_142,NN50_Refined_170,NN50_Refined_201,NN50_Refined_212,NN50_Refined_95,NN50_Refined_99,YN10_Refined_22,YN20_Refined_11,YN50_Refined_129,YN50_Refined_139,YN50_Refined_141,YN50_Refined_181,YN50_Refined_218,YN50_Refined_224,YN50_Refined_237,YN50_Refined_244,YN50_Refined_25,YN50_Refined_266,YN50_Refined_29,YN50_Refined_291,YN50_Refined_309,YN50_Refined_35,NN50_Refined_149,NN50_Refined_211
K00595,K00595,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3,0,1,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
K00768,K00768,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,2,0,0,1,2,0,1,0,1,0,1,0,2,0,0,0,0,3,2,1,0,1,0,0,0,0,0,1,1,2,2,0,1,1,1,0,0,0,0,3,3,1,1,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,2,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0
K00798,K00798,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,2,1,1,1,1,2,0,2,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,0,1,1,2,2,1,1,0,1,1,1,0,0,0
K02188,K02188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K02189,K02189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
K02224,K02224,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
K02225,K02225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K02226,K02226,0,1,0,0,0,0,1,0,0,0,0,2,3,6,5,1,6,0,4,5,6,0,4,5,0,3,0,4,2,4,6,4,3,3,2,0,4,4,3,2,4,2,5,0,3,4,5,5,6,3,3,3,5,6,3,5,5,4,4,2,5,4,2,0,0,1,2,1,0,1,1,1,2,1,1,1,1,0,2,1,1,2,0,0,0,0,1,1,0,0,2,0,0,0,3,2,3,0,2,2,0,1,0,0,0,1,0,0,1,3,3,2,0,0
K02227,K02227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,1,1,1,0,1,2,1,1,0,0,0,1,0,1,0,0,0,0
K02228,K02228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
