BinID,Phylum
NN15_Refined_59,Acidobacteriota
NN20_Refined_49,Acidobacteriota
YN50_Refined_137,Acidobacteriota
YN50_Refined_164,Acidobacteriota
YN50_Refined_169,Acidobacteriota
YN50_Refined_206,Acidobacteriota
YN50_Refined_223,Acidobacteriota
YN50_Refined_271,Acidobacteriota
YN50_Refined_272,Acidobacteriota
YN50_Refined_42,Acidobacteriota
YN50_Refined_88,Acidobacteriota
NN05_Refined_41,Actinobacteriota
NN15_Refined_88,Actinobacteriota
NN20_Refined_51,Actinobacteriota
NN20_Refined_90,Actinobacteriota
NN50_Refined_11,Actinobacteriota
NN50_Refined_150,Actinobacteriota
NN50_Refined_175,Actinobacteriota
NN50_Refined_195,Actinobacteriota
NN50_Refined_20,Actinobacteriota
NN50_Refined_206,Actinobacteriota
NN50_Refined_229,Actinobacteriota
NN50_Refined_231,Actinobacteriota
NN50_Refined_237,Actinobacteriota
NN50_Refined_26,Actinobacteriota
NN50_Refined_32,Actinobacteriota
NN50_Refined_62,Actinobacteriota
NN50_Refined_68,Actinobacteriota
NN50_Refined_73,Actinobacteriota
NN50_Refined_8,Actinobacteriota
YN15_Refined_23,Actinobacteriota
YN15_Refined_82,Actinobacteriota
YN20_Refined_101,Actinobacteriota
YN20_Refined_103,Actinobacteriota
YN20_Refined_18,Actinobacteriota
YN50_Refined_112,Actinobacteriota
YN50_Refined_114,Actinobacteriota
YN50_Refined_134,Actinobacteriota
YN50_Refined_142,Actinobacteriota
YN50_Refined_145,Actinobacteriota
YN50_Refined_152,Actinobacteriota
YN50_Refined_153,Actinobacteriota
YN50_Refined_156,Actinobacteriota
YN50_Refined_168,Actinobacteriota
YN50_Refined_17,Actinobacteriota
YN50_Refined_187,Actinobacteriota
YN50_Refined_189,Actinobacteriota
YN50_Refined_201,Actinobacteriota
YN50_Refined_23,Actinobacteriota
YN50_Refined_230,Actinobacteriota
YN50_Refined_239,Actinobacteriota
YN50_Refined_243,Actinobacteriota
YN50_Refined_246,Actinobacteriota
YN50_Refined_256,Actinobacteriota
YN50_Refined_280,Actinobacteriota
YN50_Refined_285,Actinobacteriota
YN50_Refined_306,Actinobacteriota
YN50_Refined_313,Actinobacteriota
YN50_Refined_39,Actinobacteriota
YN50_Refined_76,Actinobacteriota
YN50_Refined_77,Actinobacteriota
YN50_Refined_87,Actinobacteriota
YN50_Refined_62,Armatimonadota
NN50_Refined_14,Bacteroidota
YN50_Refined_263,Bacteroidota
YN50_Refined_304,Bacteroidota
YN50_Refined_154,Chloroflexota
YN50_Refined_213,Chloroflexota
NN50_Refined_244,Cyanobacteria
NN15_Refined_75,Eremiobacterota
NN50_Refined_132,Eremiobacterota
NN50_Refined_182,Eremiobacterota
YN10_Refined_109,Eremiobacterota
YN50_Refined_24,Eremiobacterota
YN50_Refined_268,Eremiobacterota
YN50_Refined_296,Eremiobacterota
YN50_Refined_215,Gemmatimonadota
NN50_Refined_21,Patescibacteria
NN50_Refined_226,Patescibacteria
NN50_Refined_37,Patescibacteria
YN50_Refined_136,Patescibacteria
YN50_Refined_147,Patescibacteria
YN50_Refined_203,Patescibacteria
YN50_Refined_238,Patescibacteria
YN50_Refined_75,Patescibacteria
NN50_Refined_51,Planctomycetota
YN00_Refined_153,Planctomycetota
YN50_Refined_26,Planctomycetota
NN15_Refined_38,Proteobacteria
NN50_Refined_12,Proteobacteria
NN50_Refined_142,Proteobacteria
NN50_Refined_170,Proteobacteria
NN50_Refined_201,Proteobacteria
NN50_Refined_212,Proteobacteria
NN50_Refined_95,Proteobacteria
NN50_Refined_99,Proteobacteria
YN10_Refined_22,Proteobacteria
YN20_Refined_11,Proteobacteria
YN50_Refined_129,Proteobacteria
YN50_Refined_139,Proteobacteria
YN50_Refined_141,Proteobacteria
YN50_Refined_181,Proteobacteria
YN50_Refined_218,Proteobacteria
YN50_Refined_224,Proteobacteria
YN50_Refined_237,Proteobacteria
YN50_Refined_244,Proteobacteria
YN50_Refined_25,Proteobacteria
YN50_Refined_266,Proteobacteria
YN50_Refined_29,Proteobacteria
YN50_Refined_291,Proteobacteria
YN50_Refined_309,Proteobacteria
YN50_Refined_35,Proteobacteria
NN50_Refined_149,Verrucomicrobiota
NN50_Refined_211,Verrucomicrobiota
