BinID,Phylum
NN20_Refined_49,Acidobacteriota
YN50_Refined_271,Acidobacteriota
NN20_Refined_51,Actinobacteriota
NN50_Refined_206,Actinobacteriota
NN50_Refined_229,Actinobacteriota
NN50_Refined_231,Actinobacteriota
YN15_Refined_23,Actinobacteriota
YN15_Refined_82,Actinobacteriota
YN50_Refined_114,Actinobacteriota
YN50_Refined_145,Actinobacteriota
YN50_Refined_152,Actinobacteriota
YN50_Refined_168,Actinobacteriota
YN50_Refined_23,Actinobacteriota
YN50_Refined_246,Actinobacteriota
YN50_Refined_313,Actinobacteriota
YN50_Refined_62,Armatimonadota
YN50_Refined_263,Bacteroidota
YN50_Refined_154,Chloroflexota
NN50_Refined_182,Eremiobacterota
YN10_Refined_109,Eremiobacterota
YN50_Refined_215,Gemmatimonadota
NN50_Refined_170,Proteobacteria
NN50_Refined_95,Proteobacteria
YN50_Refined_224,Proteobacteria
YN50_Refined_244,Proteobacteria
YN50_Refined_25,Proteobacteria
NN50_Refined_149,Verrucomicrobiota
