sample_name,N,Nadd,Block,Nlevel,Domain,Relative_Abundance
YN00_1,N0,Ncont,B1,0,Archaea,3.75
YN00_2,N0,Ncont,B2,0,Archaea,4.85
YN00_3,N0,Ncont,B3,0,Archaea,3.09
YN00_4,N0,Ncont,B4,0,Archaea,3.76
YN00_5,N1,Ncont,B5,0,Archaea,0.36
YN02_1,N02,Ncont,B1,2,Archaea,4.26
YN02_2,N02,Ncont,B2,2,Archaea,4.92
YN02_3,N02,Ncont,B3,2,Archaea,4.81
YN02_4,N02,Ncont,B4,2,Archaea,3.92
YN02_5,N02,Ncont,B5,2,Archaea,5.69
YN05_1,N05,Ncont,B1,5,Archaea,4.19
YN05_2,N05,Ncont,B2,5,Archaea,4.1
YN05_3,N05,Ncont,B3,5,Archaea,5.32
YN05_4,N05,Ncont,B4,5,Archaea,3.91
YN05_5,N05,Ncont,B5,5,Archaea,4.46
YN10_1,N10,Ncont,B1,10,Archaea,3.78
YN10_2,N10,Ncont,B2,10,Archaea,4.3
YN10_3,N10,Ncont,B3,10,Archaea,4.27
YN10_4,N10,Ncont,B4,10,Archaea,4.23
YN10_5,N10,Ncont,B5,10,Archaea,2.94
YN15_1,N15,Ncont,B1,15,Archaea,3.44
YN15_2,N15,Ncont,B2,15,Archaea,4.06
YN15_3,N15,Ncont,B3,15,Archaea,4.89
YN15_4,N15,Ncont,B4,15,Archaea,3.17
YN15_5,N15,Ncont,B5,15,Archaea,3.03
YN20_1,N20,Ncont,B1,20,Archaea,1.54
YN20_2,N20,Ncont,B2,20,Archaea,4.35
YN20_3,N20,Ncont,B3,20,Archaea,3.67
YN20_4,N20,Ncont,B4,20,Archaea,3.78
YN20_5,N20,Ncont,B5,20,Archaea,3.47
YN50_1,N50,Ncont,B1,50,Archaea,1.05
YN50_2,N50,Ncont,B2,50,Archaea,0.16
YN50_3,N50,Ncont,B3,50,Archaea,1.71
YN50_4,N50,Ncont,B4,50,Archaea,0.64
YN50_5,N50,Ncont,B5,50,Archaea,0.35
NN00_1,N0,Ncess,B1,0,Archaea,4.06
NN00_2,N0,Ncess,B2,0,Archaea,4.86
NN00_3,N0,Ncess,B3,0,Archaea,4.24
NN00_4,N0,Ncess,B4,0,Archaea,3.94
NN00_5,N0,Ncess,B5,0,Archaea,4.77
NN02_1,N02,Ncess,B1,2,Archaea,4.01
NN02_2,N02,Ncess,B2,2,Archaea,5.5
NN02_3,N02,Ncess,B3,2,Archaea,4.63
NN02_4,N02,Ncess,B4,2,Archaea,4
NN02_5,N02,Ncess,B5,2,Archaea,4
NN05_1,N05,Ncess,B1,5,Archaea,4.03
NN05_2,N05,Ncess,B2,5,Archaea,4.73
NN05_3,N05,Ncess,B3,5,Archaea,4.87
NN05_4,N05,Ncess,B4,5,Archaea,3.94
NN05_5,N05,Ncess,B5,5,Archaea,3.59
NN10_1,N10,Ncess,B1,10,Archaea,3.85
NN10_2,N10,Ncess,B2,10,Archaea,4.76
NN10_3,N10,Ncess,B3,10,Archaea,3.86
NN10_4,N10,Ncess,B4,10,Archaea,3.46
NN10_5,N10,Ncess,B5,10,Archaea,3.62
NN15_1,N15,Ncess,B1,15,Archaea,4.4
NN15_2,N15,Ncess,B2,15,Archaea,4.2
NN15_3,N15,Ncess,B3,15,Archaea,4.58
NN15_4,N15,Ncess,B4,15,Archaea,3.22
NN15_5,N15,Ncess,B5,15,Archaea,2.78
NN20_1,N20,Ncess,B1,20,Archaea,3.32
NN20_2,N20,Ncess,B2,20,Archaea,4.65
NN20_3,N20,Ncess,B3,20,Archaea,4.5
NN20_4,N20,Ncess,B4,20,Archaea,2.89
NN20_5,N20,Ncess,B5,20,Archaea,3.63
NN50_1,N50,Ncess,B1,50,Archaea,0.94
NN50_2,N50,Ncess,B2,50,Archaea,1.83
NN50_3,N50,Ncess,B3,50,Archaea,3.42
NN50_4,N50,Ncess,B4,50,Archaea,1.34
NN50_5,N50,Ncess,B5,50,Archaea,0.71
YN00_1,N0,Ncont,B1,0,Bacteria,88.07
YN00_2,N0,Ncont,B2,0,Bacteria,92.93
YN00_3,N0,Ncont,B3,0,Bacteria,93.21
YN00_4,N0,Ncont,B4,0,Bacteria,93.15
YN00_5,N1,Ncont,B5,0,Bacteria,89.74
YN02_1,N02,Ncont,B1,2,Bacteria,94.94
YN02_2,N02,Ncont,B2,2,Bacteria,95.08
YN02_3,N02,Ncont,B3,2,Bacteria,94.06
YN02_4,N02,Ncont,B4,2,Bacteria,93.95
YN02_5,N02,Ncont,B5,2,Bacteria,92.37
YN05_1,N05,Ncont,B1,5,Bacteria,93.28
YN05_2,N05,Ncont,B2,5,Bacteria,93.1
YN05_3,N05,Ncont,B3,5,Bacteria,93.12
YN05_4,N05,Ncont,B4,5,Bacteria,94.31
YN05_5,N05,Ncont,B5,5,Bacteria,93.04
YN10_1,N10,Ncont,B1,10,Bacteria,92.37
YN10_2,N10,Ncont,B2,10,Bacteria,93
YN10_3,N10,Ncont,B3,10,Bacteria,94.15
YN10_4,N10,Ncont,B4,10,Bacteria,91.67
YN10_5,N10,Ncont,B5,10,Bacteria,92.76
YN15_1,N15,Ncont,B1,15,Bacteria,93.38
YN15_2,N15,Ncont,B2,15,Bacteria,88.67
YN15_3,N15,Ncont,B3,15,Bacteria,92.13
YN15_4,N15,Ncont,B4,15,Bacteria,90.51
YN15_5,N15,Ncont,B5,15,Bacteria,92.45
YN20_1,N20,Ncont,B1,20,Bacteria,91.79
YN20_2,N20,Ncont,B2,20,Bacteria,92.27
YN20_3,N20,Ncont,B3,20,Bacteria,92.5
YN20_4,N20,Ncont,B4,20,Bacteria,92.28
YN20_5,N20,Ncont,B5,20,Bacteria,91.17
YN50_1,N50,Ncont,B1,50,Bacteria,81.41
YN50_2,N50,Ncont,B2,50,Bacteria,87
YN50_3,N50,Ncont,B3,50,Bacteria,86.92
YN50_4,N50,Ncont,B4,50,Bacteria,89.96
YN50_5,N50,Ncont,B5,50,Bacteria,87.37
NN00_1,N0,Ncess,B1,0,Bacteria,92.65
NN00_2,N0,Ncess,B2,0,Bacteria,92.24
NN00_3,N0,Ncess,B3,0,Bacteria,92.17
NN00_4,N0,Ncess,B4,0,Bacteria,90.92
NN00_5,N0,Ncess,B5,0,Bacteria,92.22
NN02_1,N02,Ncess,B1,2,Bacteria,94.28
NN02_2,N02,Ncess,B2,2,Bacteria,94.5
NN02_3,N02,Ncess,B3,2,Bacteria,93.57
NN02_4,N02,Ncess,B4,2,Bacteria,94.07
NN02_5,N02,Ncess,B5,2,Bacteria,94.07
NN05_1,N05,Ncess,B1,5,Bacteria,93.81
NN05_2,N05,Ncess,B2,5,Bacteria,94.44
NN05_3,N05,Ncess,B3,5,Bacteria,93.47
NN05_4,N05,Ncess,B4,5,Bacteria,93.56
NN05_5,N05,Ncess,B5,5,Bacteria,93.57
NN10_1,N10,Ncess,B1,10,Bacteria,94.1
NN10_2,N10,Ncess,B2,10,Bacteria,92.95
NN10_3,N10,Ncess,B3,10,Bacteria,93.8
NN10_4,N10,Ncess,B4,10,Bacteria,94.04
NN10_5,N10,Ncess,B5,10,Bacteria,93.57
NN15_1,N15,Ncess,B1,15,Bacteria,93.07
NN15_2,N15,Ncess,B2,15,Bacteria,93.91
NN15_3,N15,Ncess,B3,15,Bacteria,94.96
NN15_4,N15,Ncess,B4,15,Bacteria,92.02
NN15_5,N15,Ncess,B5,15,Bacteria,93.7
NN20_1,N20,Ncess,B1,20,Bacteria,92.89
NN20_2,N20,Ncess,B2,20,Bacteria,91.92
NN20_3,N20,Ncess,B3,20,Bacteria,92.21
NN20_4,N20,Ncess,B4,20,Bacteria,91.79
NN20_5,N20,Ncess,B5,20,Bacteria,94.09
NN50_1,N50,Ncess,B1,50,Bacteria,91.48
NN50_2,N50,Ncess,B2,50,Bacteria,92.62
NN50_3,N50,Ncess,B3,50,Bacteria,91.73
NN50_4,N50,Ncess,B4,50,Bacteria,92.82
NN50_5,N50,Ncess,B5,50,Bacteria,92.65
YN00_1,N0,Ncont,B1,0,Eukaryota,8.18
YN00_2,N0,Ncont,B2,0,Eukaryota,2.22
YN00_3,N0,Ncont,B3,0,Eukaryota,3.7
YN00_4,N0,Ncont,B4,0,Eukaryota,3.09
YN00_5,N1,Ncont,B5,0,Eukaryota,9.9
YN02_1,N02,Ncont,B1,2,Eukaryota,0.8
YN02_2,N02,Ncont,B2,2,Eukaryota,0
YN02_3,N02,Ncont,B3,2,Eukaryota,1.13
YN02_4,N02,Ncont,B4,2,Eukaryota,2.13
YN02_5,N02,Ncont,B5,2,Eukaryota,1.94
YN05_1,N05,Ncont,B1,5,Eukaryota,2.53
YN05_2,N05,Ncont,B2,5,Eukaryota,2.8
YN05_3,N05,Ncont,B3,5,Eukaryota,1.56
YN05_4,N05,Ncont,B4,5,Eukaryota,1.78
YN05_5,N05,Ncont,B5,5,Eukaryota,2.5
YN10_1,N10,Ncont,B1,10,Eukaryota,3.85
YN10_2,N10,Ncont,B2,10,Eukaryota,2.7
YN10_3,N10,Ncont,B3,10,Eukaryota,1.58
YN10_4,N10,Ncont,B4,10,Eukaryota,4.1
YN10_5,N10,Ncont,B5,10,Eukaryota,4.3
YN15_1,N15,Ncont,B1,15,Eukaryota,3.18
YN15_2,N15,Ncont,B2,15,Eukaryota,7.27
YN15_3,N15,Ncont,B3,15,Eukaryota,2.98
YN15_4,N15,Ncont,B4,15,Eukaryota,6.32
YN15_5,N15,Ncont,B5,15,Eukaryota,4.52
YN20_1,N20,Ncont,B1,20,Eukaryota,6.67
YN20_2,N20,Ncont,B2,20,Eukaryota,3.38
YN20_3,N20,Ncont,B3,20,Eukaryota,3.83
YN20_4,N20,Ncont,B4,20,Eukaryota,3.94
YN20_5,N20,Ncont,B5,20,Eukaryota,5.36
YN50_1,N50,Ncont,B1,50,Eukaryota,17.54
YN50_2,N50,Ncont,B2,50,Eukaryota,12.84
YN50_3,N50,Ncont,B3,50,Eukaryota,11.37
YN50_4,N50,Ncont,B4,50,Eukaryota,9.4
YN50_5,N50,Ncont,B5,50,Eukaryota,12.28
NN00_1,N0,Ncess,B1,0,Eukaryota,3.29
NN00_2,N0,Ncess,B2,0,Eukaryota,2.9
NN00_3,N0,Ncess,B3,0,Eukaryota,3.59
NN00_4,N0,Ncess,B4,0,Eukaryota,5.14
NN00_5,N0,Ncess,B5,0,Eukaryota,3.01
NN02_1,N02,Ncess,B1,2,Eukaryota,1.71
NN02_2,N02,Ncess,B2,2,Eukaryota,0
NN02_3,N02,Ncess,B3,2,Eukaryota,1.8
NN02_4,N02,Ncess,B4,2,Eukaryota,1.93
NN02_5,N02,Ncess,B5,2,Eukaryota,1.93
NN05_1,N05,Ncess,B1,5,Eukaryota,2.16
NN05_2,N05,Ncess,B2,5,Eukaryota,0.83
NN05_3,N05,Ncess,B3,5,Eukaryota,1.66
NN05_4,N05,Ncess,B4,5,Eukaryota,2.5
NN05_5,N05,Ncess,B5,5,Eukaryota,2.84
NN10_1,N10,Ncess,B1,10,Eukaryota,2.05
NN10_2,N10,Ncess,B2,10,Eukaryota,2.29
NN10_3,N10,Ncess,B3,10,Eukaryota,2.34
NN10_4,N10,Ncess,B4,10,Eukaryota,2.5
NN10_5,N10,Ncess,B5,10,Eukaryota,2.81
NN15_1,N15,Ncess,B1,15,Eukaryota,2.53
NN15_2,N15,Ncess,B2,15,Eukaryota,1.89
NN15_3,N15,Ncess,B3,15,Eukaryota,0.46
NN15_4,N15,Ncess,B4,15,Eukaryota,4.76
NN15_5,N15,Ncess,B5,15,Eukaryota,3.52
NN20_1,N20,Ncess,B1,20,Eukaryota,3.79
NN20_2,N20,Ncess,B2,20,Eukaryota,3.43
NN20_3,N20,Ncess,B3,20,Eukaryota,3.29
NN20_4,N20,Ncess,B4,20,Eukaryota,5.32
NN20_5,N20,Ncess,B5,20,Eukaryota,2.28
NN50_1,N50,Ncess,B1,50,Eukaryota,7.58
NN50_2,N50,Ncess,B2,50,Eukaryota,5.55
NN50_3,N50,Ncess,B3,50,Eukaryota,4.85
