OTU ID,Nadd,Nitrogen,Nlevel,Treatment,Year,Block
Bac1,Ncont,0,N0,N+N0,2017,B1
Bac2,Ncont,2,N2,N+N2,2017,B1
Bac3,Ncont,5,N5,N+N5,2017,B1
Bac4,Ncont,10,N10,N+N10,2017,B1
Bac5,Ncont,15,N15,N+N15,2017,B1
Bac6,Ncont,20,N20,N+N20,2017,B1
Bac7,Ncont,50,N50,N+N50,2017,B1
Bac15,Ncess,0,N0,N-N0,2017,B1
Bac16,Ncess,2,N2,N-N2,2017,B1
Bac17,Ncess,5,N5,N-N5,2017,B1
Bac18,Ncess,10,N10,N-N10,2017,B1
Bac19,Ncess,15,N15,N-N15,2017,B1
Bac20,Ncess,20,N20,N-N20,2017,B1
Bac21,Ncess,50,N50,N-N50,2017,B1
Bac29,Ncont,0,N0,N+N0,2017,B2
Bac30,Ncont,2,N2,N+N2,2017,B2
Bac31,Ncont,5,N5,N+N5,2017,B2
Bac32,Ncont,10,N10,N+N10,2017,B2
Bac33,Ncont,15,N15,N+N15,2017,B2
Bac34,Ncont,20,N20,N+N20,2017,B2
Bac35,Ncont,50,N50,N+N50,2017,B2
Bac43,Ncess,0,N0,N-N0,2017,B2
Bac44,Ncess,2,N2,N-N2,2017,B2
Bac45,Ncess,5,N5,N-N5,2017,B2
Bac46,Ncess,10,N10,N-N10,2017,B2
Bac47,Ncess,15,N15,N-N15,2017,B2
Bac48,Ncess,20,N20,N-N20,2017,B2
Bac49,Ncess,50,N50,N-N50,2017,B2
Bac57,Ncont,0,N0,N+N0,2017,B3
Bac58,Ncont,2,N2,N+N2,2017,B3
Bac59,Ncont,5,N5,N+N5,2017,B3
Bac60,Ncont,10,N10,N+N10,2017,B3
Bac61,Ncont,15,N15,N+N15,2017,B3
Bac62,Ncont,20,N20,N+N20,2017,B3
Bac63,Ncont,50,N50,N+N50,2017,B3
Bac71,Ncess,0,N0,N-N0,2017,B3
Bac72,Ncess,2,N2,N-N2,2017,B3
Bac73,Ncess,5,N5,N-N5,2017,B3
Bac74,Ncess,10,N10,N-N10,2017,B3
Bac75,Ncess,15,N15,N-N15,2017,B3
Bac76,Ncess,20,N20,N-N20,2017,B3
Bac77,Ncess,50,N50,N-N50,2017,B3
Bac85,Ncont,0,N0,N+N0,2017,B4
Bac86,Ncont,2,N2,N+N2,2017,B4
Bac87,Ncont,5,N5,N+N5,2017,B4
Bac88,Ncont,10,N10,N+N10,2017,B4
Bac89,Ncont,15,N15,N+N15,2017,B4
Bac90,Ncont,20,N20,N+N20,2017,B4
Bac91,Ncont,50,N50,N+N50,2017,B4
Bac99,Ncess,0,N0,N-N0,2017,B4
Bac100,Ncess,2,N2,N-N2,2017,B4
Bac101,Ncess,5,N5,N-N5,2017,B4
Bac102,Ncess,10,N10,N-N10,2017,B4
Bac103,Ncess,15,N15,N-N15,2017,B4
Bac104,Ncess,20,N20,N-N20,2017,B4
Bac105,Ncess,50,N50,N-N50,2017,B4
Bac113,Ncont,0,N0,N+N0,2017,B5
